id,affected_count,ai_assisted,check_type,created_at,details,status,summary,total_checked
700109,7,0,CLAIM,2023-09-21 12:20:05,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,134
700110,8,1,PAYMENT,2025-12-18 04:15:02,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,135
700111,9,0,REVISION_CLEANUP,2025-02-12 12:37:34,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,136
700112,10,0,APPLICATION,2026-08-01 12:38:31,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,137
700113,11,0,CLAIM,2022-05-14 07:08:03,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,138
700114,12,0,PAYMENT,2023-12-17 13:13:23,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,139
700115,13,1,REVISION_CLEANUP,2022-05-25 19:17:56,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,140
700116,14,0,APPLICATION,2024-01-04 10:30:45,"{""synthetic"": true, ""batch"": 1}",PARTIAL,Synthetic automated check,141
700117,15,0,CLAIM,2023-11-15 00:37:21,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,142
700118,16,0,PAYMENT,2025-07-24 22:13:34,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,143
700119,0,0,REVISION_CLEANUP,2024-01-10 01:52:58,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,144
700120,1,1,APPLICATION,2024-05-08 06:04:31,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,145
700121,2,0,CLAIM,2025-09-06 18:30:53,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,146
700122,3,0,PAYMENT,2022-03-26 17:09:34,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,147
700123,4,0,REVISION_CLEANUP,2022-11-16 19:50:42,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,148
700124,5,0,APPLICATION,2022-05-05 12:46:56,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,149
700125,6,1,CLAIM,2023-11-12 07:02:00,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,150
700126,7,0,PAYMENT,2023-03-07 15:07:40,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,151
700127,8,0,REVISION_CLEANUP,2023-06-08 10:04:03,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,152
700128,9,0,APPLICATION,2024-06-14 11:34:20,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,153
700129,10,0,CLAIM,2023-09-03 07:43:34,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,154
700130,11,1,PAYMENT,2024-01-12 18:45:08,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,155
700131,12,0,REVISION_CLEANUP,2022-07-08 11:22:46,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,156
700132,13,0,APPLICATION,2023-06-13 16:50:00,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,157
700133,14,0,CLAIM,2024-12-02 17:53:56,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,158
700134,15,0,PAYMENT,2022-12-23 15:38:49,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,159
700135,16,1,REVISION_CLEANUP,2023-10-11 13:36:28,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,160
700136,0,0,APPLICATION,2026-07-19 15:21:30,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,161
700137,1,0,CLAIM,2022-01-04 04:08:09,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,162
700138,2,0,PAYMENT,2022-06-25 01:40:26,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,163
700139,3,0,REVISION_CLEANUP,2026-03-27 19:54:22,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,164
700140,4,1,APPLICATION,2026-01-20 15:18:57,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,165
700141,5,0,CLAIM,2024-11-20 09:44:13,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,166
700142,6,0,PAYMENT,2023-12-29 08:31:27,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,167
700143,7,0,REVISION_CLEANUP,2022-06-12 15:13:47,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,168
700144,8,0,APPLICATION,2023-02-07 18:00:41,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,169
700145,9,1,CLAIM,2023-06-02 18:20:53,"{""synthetic"": true, ""batch"": 1}",PARTIAL,Synthetic automated check,170
700146,10,0,PAYMENT,2023-06-16 14:45:13,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,171
700147,11,0,REVISION_CLEANUP,2025-03-02 10:18:30,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,172
700148,12,0,APPLICATION,2022-09-02 04:04:49,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,173
700149,13,0,CLAIM,2025-05-29 14:05:53,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,174
700150,14,1,PAYMENT,2022-08-15 22:13:54,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,175
700151,15,0,REVISION_CLEANUP,2026-07-13 04:12:41,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,176
700152,16,0,APPLICATION,2022-09-21 15:19:45,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,177
700153,0,0,CLAIM,2023-01-06 22:27:16,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,178
700154,1,0,PAYMENT,2026-01-18 17:12:02,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,179
700155,2,1,REVISION_CLEANUP,2024-11-03 21:31:06,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,180
700156,3,0,APPLICATION,2024-03-16 06:28:01,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,181
700157,4,0,CLAIM,2026-03-01 05:29:08,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,182
700158,5,0,PAYMENT,2023-08-31 08:03:21,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,183
700159,6,0,REVISION_CLEANUP,2023-12-07 21:37:09,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,184
700160,7,1,APPLICATION,2024-05-18 06:03:14,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,185
700161,8,0,CLAIM,2025-03-26 21:32:34,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,186
700162,9,0,PAYMENT,2025-01-17 04:31:30,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,187
700163,10,0,REVISION_CLEANUP,2023-02-05 12:03:07,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,188
700164,11,0,APPLICATION,2022-12-02 09:27:39,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,189
700165,12,1,CLAIM,2023-01-15 08:31:41,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,190
700166,13,0,PAYMENT,2024-06-04 14:42:14,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,191
700167,14,0,REVISION_CLEANUP,2023-08-04 02:51:04,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,192
700168,15,0,APPLICATION,2023-12-13 18:50:58,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,193
700169,16,0,CLAIM,2024-01-13 07:03:42,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,194
700170,0,1,PAYMENT,2025-09-13 12:32:48,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,195
700171,1,0,REVISION_CLEANUP,2026-08-04 10:44:56,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,196
700172,2,0,APPLICATION,2023-05-27 03:06:46,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,197
700173,3,0,CLAIM,2025-02-05 19:30:55,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,198
700174,4,0,PAYMENT,2023-09-09 09:58:16,"{""synthetic"": true, ""batch"": 1}",PARTIAL,Synthetic automated check,199
700175,5,1,REVISION_CLEANUP,2022-03-08 04:26:22,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,200
700176,6,0,APPLICATION,2022-01-03 23:52:49,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,201
700177,7,0,CLAIM,2024-10-26 09:04:58,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,202
700178,8,0,PAYMENT,2025-01-05 19:07:05,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,203
700179,9,0,REVISION_CLEANUP,2023-09-25 05:09:49,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,204
700180,10,1,APPLICATION,2021-10-04 19:24:11,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,205
700181,11,0,CLAIM,2022-12-13 07:18:38,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,206
700182,12,0,PAYMENT,2023-02-12 09:49:07,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,207
700183,13,0,REVISION_CLEANUP,2023-04-28 16:32:05,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,208
700184,14,0,APPLICATION,2024-08-19 12:30:33,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,209
700185,15,1,CLAIM,2022-02-11 11:40:55,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,210
700186,16,0,PAYMENT,2022-05-15 05:44:30,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,211
700187,0,0,REVISION_CLEANUP,2026-05-09 04:15:48,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,212
700188,1,0,APPLICATION,2024-01-04 03:16:54,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,213
700189,2,0,CLAIM,2022-06-02 18:16:04,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,214
700190,3,1,PAYMENT,2025-11-29 23:57:31,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,215
700191,4,0,REVISION_CLEANUP,2023-12-03 23:27:05,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,216
700192,5,0,APPLICATION,2025-01-27 07:55:08,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,217
700193,6,0,CLAIM,2023-11-02 20:57:02,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,218
700194,7,0,PAYMENT,2023-12-17 15:03:18,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,219
700195,8,1,REVISION_CLEANUP,2022-08-12 06:51:26,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,220
700196,9,0,APPLICATION,2023-08-24 21:29:21,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,221
700197,10,0,CLAIM,2022-03-29 03:22:41,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,222
700198,11,0,PAYMENT,2025-02-01 23:49:04,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,223
700199,12,0,REVISION_CLEANUP,2021-11-27 10:20:52,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,224
700200,13,1,APPLICATION,2025-03-09 01:47:41,"{""synthetic"": true, ""batch"": 2}",SUCCESS,Synthetic automated check,225
700201,14,0,CLAIM,2023-05-03 14:28:39,"{""synthetic"": true, ""batch"": 2}",SUCCESS,Synthetic automated check,226
700202,15,0,PAYMENT,2024-08-09 01:55:03,"{""synthetic"": true, ""batch"": 2}",SUCCESS,Synthetic automated check,227
700203,16,0,REVISION_CLEANUP,2023-10-29 05:53:55,"{""synthetic"": true, ""batch"": 2}",PARTIAL,Synthetic automated check,228
700204,0,0,APPLICATION,2025-02-27 19:32:47,"{""synthetic"": true, ""batch"": 2}",SUCCESS,Synthetic automated check,229
700205,1,1,CLAIM,2022-04-27 18:11:13,"{""synthetic"": true, ""batch"": 2}",SUCCESS,Synthetic automated check,230
700206,2,0,PAYMENT,2023-04-25 19:08:33,"{""synthetic"": true, ""batch"": 2}",SUCCESS,Synthetic automated check,231
