id,admin_note,admin_signature,admin_signed_at,agent_note,agent_signature,agent_signed_at,common_info,coverage_amount,created_at,documents_path,duration,extra_info,form_data,notes,policy_number,premium_amount,revision_deadline,risk_level,status,updated_at,agent_id,customer_id,package_id
200013,Synthetic admin review completed,,2021-11-28 06:28:18,Synthetic agent verification,,2021-11-26 06:28:18,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",14190825.23,2021-11-24 06:28:18,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,SYN-POL-200013,17738.53,,MEDIUM,APPROVED,2021-11-30 06:28:18,100014,100264,9114
200014,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",7433423.39,2025-03-05 04:37:45,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,10840.41,,LOW,CANCELLED,2025-03-13 04:37:45,100015,100265,9115
200015,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",23422872.09,2026-07-13 14:16:21,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,39038.12,,LOW,PENDING,2026-07-17 14:16:21,100016,100266,9116
200016,Synthetic admin review completed,,2026-01-08 08:27:25,Synthetic agent verification,,2026-01-06 08:27:25,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",7042187.15,2026-01-04 08:27:25,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200016,13204.10,,MEDIUM,APPROVED,2026-01-05 08:27:25,100017,100267,9117
200017,Synthetic admin review completed,,2026-02-15 20:51:44,Synthetic agent verification,,2026-02-13 20:51:44,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",10399930.44,2026-02-11 20:51:44,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200017,21666.52,,LOW,APPROVED,2026-02-23 20:51:44,100018,100268,9118
200018,,,,Synthetic agent verification,,2022-08-24 15:07:16,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",21219693.14,2022-08-22 15:07:16,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,22103.85,,LOW,VERIFIED,2022-08-30 15:07:16,100019,100269,9119
200019,Synthetic admin review completed,,2025-08-02 02:37:18,Synthetic agent verification,,2025-07-31 02:37:18,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",25748597.81,2025-07-29 02:37:18,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200019,32185.75,,MEDIUM,APPROVED,2025-08-03 02:37:18,100020,100270,9120
200020,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",7718732.90,2022-11-14 04:49:38,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,11256.49,2022-11-21 04:49:38,MEDIUM,REVISION_REQUESTED,2022-11-18 04:49:38,100021,100271,9121
200021,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",8995873.50,2023-10-01 08:11:06,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,14993.12,,LOW,REJECTED,2023-10-02 08:11:06,100022,100272,9122
200022,Synthetic admin review completed,,2022-09-25 17:23:19,Synthetic agent verification,,2022-09-23 17:23:19,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",15308416.83,2022-09-21 17:23:19,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200022,28703.28,,MEDIUM,APPROVED,2022-09-22 17:23:19,100023,100273,9123
200023,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",3723622.98,2023-06-01 10:10:14,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,7757.55,,MEDIUM,CANCELLED,2023-06-07 10:10:14,100024,100274,9124
200024,,,,Synthetic agent verification,,2025-09-11 02:48:23,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",7377568.09,2025-09-09 02:48:23,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,7684.97,,MEDIUM,VERIFIED,2025-09-19 02:48:23,100025,100275,9101
200025,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",5332032.01,2022-05-23 00:14:46,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,6665.04,2022-05-30 00:14:46,MEDIUM,REVISION_REQUESTED,2022-05-26 00:14:46,100026,100276,9102
200026,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",19599280.11,2022-02-18 03:26:04,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,,28582.28,,LOW,CANCELLED,2022-02-23 03:26:04,100027,100277,9103
200027,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",27354507.16,2024-10-15 07:34:40,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,45590.85,,LOW,PENDING,2024-10-21 07:34:40,100028,100278,9104
200028,Synthetic admin review completed,,2023-10-22 17:41:19,Synthetic agent verification,,2023-10-20 17:41:19,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",3941203.12,2023-10-18 17:41:19,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200028,7389.76,,LOW,APPROVED,2023-10-27 17:41:19,100029,100279,9105
200029,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",7969691.62,2021-12-02 05:01:40,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,16603.52,,HIGH,PENDING,2021-12-11 05:01:40,100030,100280,9106
200030,,,,Synthetic agent verification,,2023-07-13 23:49:40,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",5765887.53,2023-07-11 23:49:40,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,6006.13,,MEDIUM,VERIFIED,2023-07-20 23:49:40,100031,100281,9107
200031,Synthetic admin review completed,,2023-02-20 03:20:33,Synthetic agent verification,,2023-02-18 03:20:33,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",17686152.72,2023-02-16 03:20:33,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200031,22107.69,,LOW,APPROVED,2023-02-20 03:20:33,100032,100282,9108
200032,,,,Synthetic agent verification,,2024-06-25 02:28:25,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",12067359.30,2024-06-23 02:28:25,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,17598.23,,MEDIUM,VERIFIED,2024-07-02 02:28:25,100033,100283,9109
200033,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",14668905.39,2025-01-13 05:02:51,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,24448.18,,LOW,REJECTED,2025-01-14 05:02:51,100034,100284,9110
200034,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",4168557.40,2025-03-11 13:34:37,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,7816.05,,MEDIUM,PENDING,2025-03-14 13:34:37,100035,100285,9111
200035,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",18911128.85,2024-05-31 01:08:34,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,39398.19,,LOW,PENDING,2024-06-02 01:08:34,100036,100286,9112
200036,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",9851751.40,2026-07-31 13:35:08,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,10262.24,,LOW,PENDING,2026-08-04 13:35:08,100037,100287,9113
200037,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",3881620.07,2022-11-06 03:40:30,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,4852.03,,LOW,REJECTED,2022-11-15 03:40:30,100038,100288,9114
200038,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",27126847.49,2022-10-13 02:10:51,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,39559.99,,LOW,REJECTED,2022-10-20 02:10:51,100039,100289,9115
200039,,,,Synthetic agent verification,,2023-12-03 00:16:10,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",15506167.13,2023-12-01 00:16:10,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,,25843.61,,LOW,VERIFIED,2023-12-08 00:16:10,100040,100290,9116
200040,Synthetic admin review completed,,2025-04-28 05:28:11,Synthetic agent verification,,2025-04-26 05:28:11,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",6685015.64,2025-04-24 05:28:11,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200040,12534.40,,MEDIUM,APPROVED,2025-05-02 05:28:11,100041,100291,9117
200041,,,,Synthetic agent verification,,2022-10-09 19:08:21,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",3298193.68,2022-10-07 19:08:21,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,6871.24,,HIGH,VERIFIED,2022-10-13 19:08:21,100042,100292,9118
200042,,,,Synthetic agent verification,,2024-02-25 06:26:59,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",16076736.92,2024-02-23 06:26:59,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,16746.60,,MEDIUM,VERIFIED,2024-02-24 06:26:59,100043,100293,9119
200043,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",22200638.28,2023-10-17 09:04:33,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,27750.80,,LOW,PENDING,2023-10-19 09:04:33,100044,100294,9120
200044,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",6313612.15,2022-04-15 23:41:37,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,9207.35,2022-04-22 23:41:37,MEDIUM,REVISION_REQUESTED,2022-04-22 23:41:37,100045,100295,9121
200045,Synthetic admin review completed,,2023-10-01 21:19:01,Synthetic agent verification,,2023-09-29 21:19:01,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",8799963.09,2023-09-27 21:19:01,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200045,14666.61,,LOW,APPROVED,2023-09-28 21:19:01,100046,100296,9122
200046,,,,Synthetic agent verification,,2025-09-06 18:13:56,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",6263395.17,2025-09-04 18:13:56,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,11743.87,,LOW,VERIFIED,2025-09-06 18:13:56,100047,100297,9123
200047,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",16341375.29,2024-01-22 14:33:53,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,34044.53,2024-01-29 14:33:53,LOW,REVISION_REQUESTED,2024-01-25 14:33:53,100048,100298,9124
200048,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",2848656.88,2026-04-11 12:20:22,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,2967.35,2026-04-18 12:20:22,MEDIUM,REVISION_REQUESTED,2026-04-14 12:20:22,100049,100299,9101
200049,,,,Synthetic agent verification,,2023-04-05 08:50:45,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",7920018.49,2023-04-03 08:50:45,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,9900.02,,LOW,VERIFIED,2023-04-09 08:50:45,100050,100300,9102
200050,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",21132829.78,2023-06-20 19:37:47,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,30818.71,2023-06-27 19:37:47,LOW,REVISION_REQUESTED,2023-06-26 19:37:47,100051,100301,9103
200051,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",19609638.17,2025-04-10 00:59:53,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,32682.73,,LOW,PENDING,2025-04-12 00:59:53,100052,100302,9104
200052,Synthetic admin review completed,,2023-02-12 11:05:09,Synthetic agent verification,,2023-02-10 11:05:09,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",2574877.36,2023-02-08 11:05:09,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,SYN-POL-200052,4827.90,,LOW,APPROVED,2023-02-10 11:05:09,100053,100303,9105
200053,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",4344123.64,2022-10-21 00:24:26,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,9050.26,2022-10-28 00:24:26,LOW,REVISION_REQUESTED,2022-10-22 00:24:26,100054,100304,9106
200054,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",21287497.39,2021-09-12 17:21:39,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,22174.48,,MEDIUM,CANCELLED,2021-09-15 17:21:39,100055,100305,9107
200055,Synthetic admin review completed,,2023-02-02 01:16:36,Synthetic agent verification,,2023-01-31 01:16:36,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",19701362.85,2023-01-29 01:16:36,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200055,24626.70,,LOW,APPROVED,2023-02-07 01:16:36,100056,100306,9108
200056,,,,Synthetic agent verification,,2024-03-04 13:19:38,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",1990485.22,2024-03-02 13:19:38,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,2902.79,,LOW,VERIFIED,2024-03-09 13:19:38,100057,100307,9109
200057,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",5638861.03,2026-04-09 15:52:24,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,9398.10,2026-04-16 15:52:24,MEDIUM,REVISION_REQUESTED,2026-04-14 15:52:24,100058,100308,9110
200058,Synthetic admin review completed,,2023-01-19 01:09:43,Synthetic agent verification,,2023-01-17 01:09:43,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",19405604.89,2023-01-15 01:09:43,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200058,36385.51,,LOW,APPROVED,2023-01-23 01:09:43,100059,100309,9111
200059,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",21023551.19,2022-02-01 03:31:08,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,43799.06,,LOW,PENDING,2022-02-13 03:31:08,100060,100310,9112
200060,Synthetic admin review completed,,2022-04-11 06:59:49,Synthetic agent verification,,2022-04-09 06:59:49,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",5312146.05,2022-04-07 06:59:49,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200060,5533.49,,LOW,APPROVED,2022-04-12 06:59:49,100061,100311,9113
200061,,,,Synthetic agent verification,,2024-07-23 04:18:41,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",13414166.84,2024-07-21 04:18:41,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,16767.71,,LOW,VERIFIED,2024-08-01 04:18:41,100062,100312,9114
200062,,,,Synthetic agent verification,,2026-07-11 08:38:14,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",13001935.45,2026-07-09 08:38:14,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,18961.16,,MEDIUM,VERIFIED,2026-07-21 08:38:14,100063,100313,9115
200063,Synthetic admin review completed,,2024-02-02 22:05:18,Synthetic agent verification,,2024-01-31 22:05:18,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",6701464.16,2024-01-29 22:05:18,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200063,11169.11,,MEDIUM,APPROVED,2024-01-30 22:05:18,100064,100314,9116
200064,Synthetic admin review completed,,2026-05-10 11:06:35,Synthetic agent verification,,2026-05-08 11:06:35,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",7761485.70,2026-05-06 11:06:35,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200064,14552.79,,LOW,APPROVED,2026-05-12 11:06:35,100065,100315,9117
200065,,,,Synthetic agent verification,,2024-03-06 09:11:58,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",15101978.44,2024-03-04 09:11:58,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,,31462.46,,LOW,VERIFIED,2024-03-05 09:11:58,100066,100316,9118
200066,,,,Synthetic agent verification,,2024-07-28 09:55:24,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",2980179.14,2024-07-26 09:55:24,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,3104.35,,LOW,VERIFIED,2024-08-01 09:55:24,100067,100317,9119
200067,Synthetic admin review completed,,2022-02-09 02:29:21,Synthetic agent verification,,2022-02-07 02:29:21,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",25752574.67,2022-02-05 02:29:21,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200067,32190.72,,MEDIUM,APPROVED,2022-02-15 02:29:21,100068,100318,9120
200068,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",2737296.63,2023-01-07 18:26:28,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,3991.89,2023-01-14 18:26:28,HIGH,REVISION_REQUESTED,2023-01-09 18:26:28,100069,100319,9121
200069,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",3385060.38,2022-05-15 06:44:00,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,5641.77,2022-05-22 06:44:00,MEDIUM,REVISION_REQUESTED,2022-05-16 06:44:00,100070,100320,9122
200070,Synthetic admin review completed,,2024-07-03 20:05:40,Synthetic agent verification,,2024-07-01 20:05:40,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",11798374.17,2024-06-29 20:05:40,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200070,22121.95,,LOW,APPROVED,2024-07-01 20:05:40,100071,100321,9123
200071,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",28424508.84,2023-03-11 02:05:56,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,59217.73,2023-03-18 02:05:56,LOW,REVISION_REQUESTED,2023-03-19 02:05:56,100072,100322,9124
200072,,,,Synthetic agent verification,,2023-12-16 19:47:20,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",1657438.53,2023-12-14 19:47:20,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,1726.50,,LOW,VERIFIED,2023-12-23 19:47:20,100073,100323,9101
