id,category,created_at,message,rating,is_read,customer_id
500029,PORTAL,2025-08-20 17:40:30,Synthetic feedback message 30; no real customer data.,5,1,100280
500030,SERVICE,2022-11-05 02:45:37,Synthetic feedback message 31; no real customer data.,1,1,100281
500031,PAYMENT,2023-01-27 21:46:04,Synthetic feedback message 32; no real customer data.,2,1,100282
500032,CLAIM,2022-01-20 02:09:54,Synthetic feedback message 33; no real customer data.,3,0,100283
500033,APPLICATION,2023-04-21 16:56:50,Synthetic feedback message 34; no real customer data.,4,1,100284
500034,PORTAL,2023-04-26 23:03:25,Synthetic feedback message 35; no real customer data.,5,1,100285
500035,SERVICE,2023-08-29 21:40:48,Synthetic feedback message 36; no real customer data.,1,1,100286
500036,PAYMENT,2025-01-08 08:17:11,Synthetic feedback message 37; no real customer data.,2,0,100287
500037,CLAIM,2026-07-08 05:31:01,Synthetic feedback message 38; no real customer data.,3,1,100288
500038,APPLICATION,2023-02-16 10:38:26,Synthetic feedback message 39; no real customer data.,4,1,100289
500039,PORTAL,2022-07-22 14:20:37,Synthetic feedback message 40; no real customer data.,5,1,100290
500040,SERVICE,2024-08-19 15:12:51,Synthetic feedback message 41; no real customer data.,1,0,100291
500041,PAYMENT,2022-04-15 20:39:59,Synthetic feedback message 42; no real customer data.,2,1,100292
500042,CLAIM,2022-11-23 15:17:48,Synthetic feedback message 43; no real customer data.,3,1,100293
500043,APPLICATION,2023-10-08 10:00:48,Synthetic feedback message 44; no real customer data.,4,1,100294
500044,PORTAL,2024-08-08 05:37:24,Synthetic feedback message 45; no real customer data.,5,0,100295
500045,SERVICE,2025-03-28 14:05:21,Synthetic feedback message 46; no real customer data.,1,1,100296
500046,PAYMENT,2024-10-15 08:24:31,Synthetic feedback message 47; no real customer data.,2,1,100297
500047,CLAIM,2022-09-02 18:29:22,Synthetic feedback message 48; no real customer data.,3,1,100298
500048,APPLICATION,2023-04-18 16:13:11,Synthetic feedback message 49; no real customer data.,4,0,100299
500049,PORTAL,2026-02-20 14:20:02,Synthetic feedback message 50; no real customer data.,5,1,100300
500050,SERVICE,2022-04-03 19:33:45,Synthetic feedback message 51; no real customer data.,1,1,100301
500051,PAYMENT,2024-08-16 16:17:18,Synthetic feedback message 52; no real customer data.,2,1,100302
500052,CLAIM,2024-06-12 17:31:46,Synthetic feedback message 53; no real customer data.,3,0,100303
500053,APPLICATION,2025-07-16 08:02:06,Synthetic feedback message 54; no real customer data.,4,1,100304
500054,PORTAL,2022-07-12 04:52:53,Synthetic feedback message 55; no real customer data.,5,1,100305
500055,SERVICE,2024-12-05 07:56:03,Synthetic feedback message 56; no real customer data.,1,1,100306
500056,PAYMENT,2022-08-22 15:37:26,Synthetic feedback message 57; no real customer data.,2,0,100307
500057,CLAIM,2025-07-22 14:20:10,Synthetic feedback message 58; no real customer data.,3,1,100308
500058,APPLICATION,2024-09-14 04:22:08,Synthetic feedback message 59; no real customer data.,4,1,100309
500059,PORTAL,2022-06-16 14:20:43,Synthetic feedback message 60; no real customer data.,5,1,100310
500060,SERVICE,2023-04-20 14:05:10,Synthetic feedback message 61; no real customer data.,1,0,100311
500061,PAYMENT,2022-05-20 22:11:29,Synthetic feedback message 62; no real customer data.,2,1,100312
500062,CLAIM,2023-02-21 19:54:48,Synthetic feedback message 63; no real customer data.,3,1,100313
500063,APPLICATION,2023-03-23 09:23:57,Synthetic feedback message 64; no real customer data.,4,1,100314
500064,PORTAL,2023-11-29 11:32:45,Synthetic feedback message 65; no real customer data.,5,0,100315
500065,SERVICE,2023-04-13 19:15:29,Synthetic feedback message 66; no real customer data.,1,1,100316
500066,PAYMENT,2026-04-01 12:57:16,Synthetic feedback message 67; no real customer data.,2,1,100317
500067,CLAIM,2024-11-13 05:01:22,Synthetic feedback message 68; no real customer data.,3,1,100318
500068,APPLICATION,2025-07-20 08:03:13,Synthetic feedback message 69; no real customer data.,4,0,100319
500069,PORTAL,2026-07-21 04:57:17,Synthetic feedback message 70; no real customer data.,5,1,100320
500070,SERVICE,2022-01-07 08:11:13,Synthetic feedback message 71; no real customer data.,1,1,100321
500071,PAYMENT,2026-04-13 02:22:51,Synthetic feedback message 72; no real customer data.,2,1,100322
500072,CLAIM,2025-03-26 01:59:53,Synthetic feedback message 73; no real customer data.,3,0,100323
500073,APPLICATION,2026-05-08 12:31:31,Synthetic feedback message 74; no real customer data.,4,1,100324
500074,PORTAL,2022-08-09 06:25:48,Synthetic feedback message 75; no real customer data.,5,1,100325
500075,SERVICE,2024-04-26 17:12:34,Synthetic feedback message 76; no real customer data.,1,1,100326
500076,PAYMENT,2022-09-25 11:49:56,Synthetic feedback message 77; no real customer data.,2,0,100327
500077,CLAIM,2022-04-08 11:09:12,Synthetic feedback message 78; no real customer data.,3,1,100328
500078,APPLICATION,2024-06-13 14:33:06,Synthetic feedback message 79; no real customer data.,4,1,100329
500079,PORTAL,2025-04-03 22:44:14,Synthetic feedback message 80; no real customer data.,5,1,100330
500080,SERVICE,2025-05-15 18:43:15,Synthetic feedback message 81; no real customer data.,1,0,100331
500081,PAYMENT,2024-11-03 21:38:01,Synthetic feedback message 82; no real customer data.,2,1,100332
500082,CLAIM,2024-05-02 09:26:32,Synthetic feedback message 83; no real customer data.,3,1,100333
500083,APPLICATION,2023-02-26 18:32:02,Synthetic feedback message 84; no real customer data.,4,1,100334
500084,PORTAL,2023-02-19 14:57:16,Synthetic feedback message 85; no real customer data.,5,0,100335
500085,SERVICE,2022-03-13 20:57:08,Synthetic feedback message 86; no real customer data.,1,1,100336
500086,PAYMENT,2025-06-10 22:35:19,Synthetic feedback message 87; no real customer data.,2,1,100337
500087,CLAIM,2026-02-22 14:14:16,Synthetic feedback message 88; no real customer data.,3,1,100338
500088,APPLICATION,2022-08-24 00:15:53,Synthetic feedback message 89; no real customer data.,4,0,100339
500089,PORTAL,2024-11-10 20:17:04,Synthetic feedback message 90; no real customer data.,5,1,100340
500090,SERVICE,2023-09-17 03:57:23,Synthetic feedback message 91; no real customer data.,1,1,100341
500091,PAYMENT,2022-03-15 14:10:11,Synthetic feedback message 92; no real customer data.,2,1,100342
500092,CLAIM,2026-01-21 05:46:55,Synthetic feedback message 93; no real customer data.,3,0,100343
500093,APPLICATION,2026-04-24 03:43:42,Synthetic feedback message 94; no real customer data.,4,1,100344
500094,PORTAL,2026-07-31 08:07:47,Synthetic feedback message 95; no real customer data.,5,1,100345
500095,SERVICE,2021-10-17 14:55:54,Synthetic feedback message 96; no real customer data.,1,1,100346
500096,PAYMENT,2024-11-08 10:27:50,Synthetic feedback message 97; no real customer data.,2,0,100347
500097,CLAIM,2024-08-12 03:50:04,Synthetic feedback message 98; no real customer data.,3,1,100348
500098,APPLICATION,2025-03-02 09:51:43,Synthetic feedback message 99; no real customer data.,4,1,100349
500099,PORTAL,2024-11-09 10:04:49,Synthetic feedback message 100; no real customer data.,5,1,100350
500100,SERVICE,2024-09-12 10:02:18,Synthetic feedback message 101; no real customer data.,1,0,100351
500101,PAYMENT,2025-09-13 01:01:32,Synthetic feedback message 102; no real customer data.,2,1,100352
500102,CLAIM,2022-06-02 15:28:37,Synthetic feedback message 103; no real customer data.,3,1,100353
500103,APPLICATION,2025-04-07 13:06:50,Synthetic feedback message 104; no real customer data.,4,1,100354
500104,PORTAL,2026-03-07 05:22:18,Synthetic feedback message 105; no real customer data.,5,0,100355
500105,SERVICE,2025-07-31 22:30:21,Synthetic feedback message 106; no real customer data.,1,1,100356
500106,PAYMENT,2024-05-28 02:52:01,Synthetic feedback message 107; no real customer data.,2,1,100357
500107,CLAIM,2024-12-21 08:52:25,Synthetic feedback message 108; no real customer data.,3,1,100358
500108,APPLICATION,2024-12-01 15:10:22,Synthetic feedback message 109; no real customer data.,4,0,100359
500109,PORTAL,2025-07-14 21:12:35,Synthetic feedback message 110; no real customer data.,5,1,100360
500110,SERVICE,2023-12-07 12:18:13,Synthetic feedback message 111; no real customer data.,1,1,100361
500111,PAYMENT,2025-06-01 17:09:21,Synthetic feedback message 112; no real customer data.,2,1,100362
500112,CLAIM,2023-01-16 17:15:13,Synthetic feedback message 113; no real customer data.,3,0,100363
500113,APPLICATION,2025-03-28 20:22:33,Synthetic feedback message 114; no real customer data.,4,1,100364
500114,PORTAL,2022-11-09 07:57:21,Synthetic feedback message 115; no real customer data.,5,1,100365
500115,SERVICE,2023-11-02 23:15:43,Synthetic feedback message 116; no real customer data.,1,1,100366
500116,PAYMENT,2023-09-26 09:12:08,Synthetic feedback message 117; no real customer data.,2,0,100367
500117,CLAIM,2022-05-02 14:39:50,Synthetic feedback message 118; no real customer data.,3,1,100368
500118,APPLICATION,2024-06-12 21:09:35,Synthetic feedback message 119; no real customer data.,4,1,100369
500119,PORTAL,2026-03-25 16:22:47,Synthetic feedback message 120; no real customer data.,5,1,100370
500120,SERVICE,2023-07-09 19:37:45,Synthetic feedback message 121; no real customer data.,1,0,100371
500121,PAYMENT,2024-05-02 05:12:07,Synthetic feedback message 122; no real customer data.,2,1,100372
500122,CLAIM,2026-01-12 20:19:08,Synthetic feedback message 123; no real customer data.,3,1,100373
500123,APPLICATION,2022-07-27 01:15:39,Synthetic feedback message 124; no real customer data.,4,1,100374
500124,PORTAL,2023-09-02 07:46:15,Synthetic feedback message 125; no real customer data.,5,0,100375
500125,SERVICE,2023-06-14 13:33:40,Synthetic feedback message 126; no real customer data.,1,1,100376
500126,PAYMENT,2024-10-11 04:45:46,Synthetic feedback message 127; no real customer data.,2,1,100377
500127,CLAIM,2022-12-23 23:26:40,Synthetic feedback message 128; no real customer data.,3,1,100378
500128,APPLICATION,2022-02-24 21:26:40,Synthetic feedback message 129; no real customer data.,4,0,100379
500129,PORTAL,2026-07-10 11:11:51,Synthetic feedback message 130; no real customer data.,5,1,100380
500130,SERVICE,2025-08-14 16:09:22,Synthetic feedback message 131; no real customer data.,1,1,100381
500131,PAYMENT,2023-05-18 11:10:58,Synthetic feedback message 132; no real customer data.,2,1,100382
500132,CLAIM,2026-02-22 09:17:53,Synthetic feedback message 133; no real customer data.,3,0,100383
500133,APPLICATION,2026-02-14 18:41:03,Synthetic feedback message 134; no real customer data.,4,1,100384
500134,PORTAL,2022-05-26 09:32:47,Synthetic feedback message 135; no real customer data.,5,1,100385
500135,SERVICE,2026-07-23 10:01:05,Synthetic feedback message 136; no real customer data.,1,1,100386
500136,PAYMENT,2025-12-03 07:39:25,Synthetic feedback message 137; no real customer data.,2,0,100387
500137,CLAIM,2025-12-27 17:56:13,Synthetic feedback message 138; no real customer data.,3,1,100388
500138,APPLICATION,2023-02-06 09:52:08,Synthetic feedback message 139; no real customer data.,4,1,100389
500139,PORTAL,2026-08-14 08:00:18,Synthetic feedback message 140; no real customer data.,5,1,100390
500140,SERVICE,2023-01-09 02:17:05,Synthetic feedback message 141; no real customer data.,1,0,100391
500141,PAYMENT,2024-09-23 05:20:04,Synthetic feedback message 142; no real customer data.,2,1,100392
500142,CLAIM,2022-02-21 02:41:18,Synthetic feedback message 143; no real customer data.,3,1,100393
500143,APPLICATION,2024-07-19 15:29:15,Synthetic feedback message 144; no real customer data.,4,1,100394
500144,PORTAL,2024-09-26 05:03:03,Synthetic feedback message 145; no real customer data.,5,0,100395
500145,SERVICE,2021-11-16 13:59:56,Synthetic feedback message 146; no real customer data.,1,1,100396
500146,PAYMENT,2022-01-06 04:06:33,Synthetic feedback message 147; no real customer data.,2,1,100397
500147,CLAIM,2024-11-08 08:20:33,Synthetic feedback message 148; no real customer data.,3,1,100398
500148,APPLICATION,2025-05-12 04:44:18,Synthetic feedback message 149; no real customer data.,4,0,100399
500149,PORTAL,2026-02-18 11:00:39,Synthetic feedback message 150; no real customer data.,5,1,100400
500150,SERVICE,2023-09-12 04:41:35,Synthetic feedback message 151; no real customer data.,1,1,100401
500151,PAYMENT,2026-06-08 17:45:48,Synthetic feedback message 152; no real customer data.,2,1,100402
500152,CLAIM,2024-12-09 09:58:39,Synthetic feedback message 153; no real customer data.,3,0,100403
500153,APPLICATION,2023-11-28 18:05:54,Synthetic feedback message 154; no real customer data.,4,1,100404
500154,PORTAL,2023-08-06 02:33:17,Synthetic feedback message 155; no real customer data.,5,1,100405
500155,SERVICE,2025-04-27 07:47:21,Synthetic feedback message 156; no real customer data.,1,1,100406
500156,PAYMENT,2025-01-20 03:24:12,Synthetic feedback message 157; no real customer data.,2,0,100407
500157,CLAIM,2024-04-27 14:45:25,Synthetic feedback message 158; no real customer data.,3,1,100408
500158,APPLICATION,2024-10-31 19:36:19,Synthetic feedback message 159; no real customer data.,4,1,100409
500159,PORTAL,2025-05-21 10:40:20,Synthetic feedback message 160; no real customer data.,5,1,100410
500160,SERVICE,2024-01-28 01:47:00,Synthetic feedback message 161; no real customer data.,1,0,100411
500161,PAYMENT,2025-08-26 19:09:28,Synthetic feedback message 162; no real customer data.,2,1,100412
500162,CLAIM,2024-09-13 20:30:11,Synthetic feedback message 163; no real customer data.,3,1,100413
500163,APPLICATION,2026-03-13 13:13:25,Synthetic feedback message 164; no real customer data.,4,1,100414
500164,PORTAL,2023-11-21 23:40:44,Synthetic feedback message 165; no real customer data.,5,0,100415
500165,SERVICE,2025-03-24 05:57:07,Synthetic feedback message 166; no real customer data.,1,1,100416
500166,PAYMENT,2025-07-07 06:09:04,Synthetic feedback message 167; no real customer data.,2,1,100417
500167,CLAIM,2022-08-09 11:46:13,Synthetic feedback message 168; no real customer data.,3,1,100418
500168,APPLICATION,2022-03-17 05:13:59,Synthetic feedback message 169; no real customer data.,4,0,100419
500169,PORTAL,2023-07-22 04:10:57,Synthetic feedback message 170; no real customer data.,5,1,100420
500170,SERVICE,2024-11-04 12:45:06,Synthetic feedback message 171; no real customer data.,1,1,100421
500171,PAYMENT,2026-07-09 21:44:20,Synthetic feedback message 172; no real customer data.,2,1,100422
500172,CLAIM,2024-02-07 13:10:11,Synthetic feedback message 173; no real customer data.,3,0,100423
500173,APPLICATION,2026-07-28 14:57:45,Synthetic feedback message 174; no real customer data.,4,1,100424
500174,PORTAL,2022-03-02 22:00:07,Synthetic feedback message 175; no real customer data.,5,1,100425
500175,SERVICE,2024-02-16 16:01:40,Synthetic feedback message 176; no real customer data.,1,1,100426
500176,PAYMENT,2023-05-02 09:46:23,Synthetic feedback message 177; no real customer data.,2,0,100427
500177,CLAIM,2023-06-21 08:31:43,Synthetic feedback message 178; no real customer data.,3,1,100428
500178,APPLICATION,2022-01-10 09:34:24,Synthetic feedback message 179; no real customer data.,4,1,100429
500179,PORTAL,2022-07-19 21:55:29,Synthetic feedback message 180; no real customer data.,5,1,100430
500180,SERVICE,2024-10-02 14:05:36,Synthetic feedback message 181; no real customer data.,1,0,100431
500181,PAYMENT,2026-04-16 19:17:10,Synthetic feedback message 182; no real customer data.,2,1,100432
500182,CLAIM,2024-02-18 16:07:57,Synthetic feedback message 183; no real customer data.,3,1,100433
500183,APPLICATION,2026-07-26 16:00:36,Synthetic feedback message 184; no real customer data.,4,1,100434
500184,PORTAL,2023-06-21 22:26:32,Synthetic feedback message 185; no real customer data.,5,0,100435
500185,SERVICE,2024-07-10 12:26:10,Synthetic feedback message 186; no real customer data.,1,1,100436
500186,PAYMENT,2025-11-27 13:41:46,Synthetic feedback message 187; no real customer data.,2,1,100437
500187,CLAIM,2024-12-03 08:44:42,Synthetic feedback message 188; no real customer data.,3,1,100438
500188,APPLICATION,2023-11-25 00:13:37,Synthetic feedback message 189; no real customer data.,4,0,100439
500189,PORTAL,2022-03-01 12:19:17,Synthetic feedback message 190; no real customer data.,5,1,100440
500190,SERVICE,2024-01-31 19:59:29,Synthetic feedback message 191; no real customer data.,1,1,100441
500191,PAYMENT,2024-03-17 01:57:03,Synthetic feedback message 192; no real customer data.,2,1,100442
500192,CLAIM,2026-03-22 08:07:26,Synthetic feedback message 193; no real customer data.,3,0,100443
500193,APPLICATION,2022-01-08 02:07:59,Synthetic feedback message 194; no real customer data.,4,1,100444
500194,PORTAL,2025-02-08 04:55:43,Synthetic feedback message 195; no real customer data.,5,1,100445
500195,SERVICE,2024-05-24 00:37:15,Synthetic feedback message 196; no real customer data.,1,1,100446
500196,PAYMENT,2026-07-28 22:08:14,Synthetic feedback message 197; no real customer data.,2,0,100447
500197,CLAIM,2022-10-07 10:20:25,Synthetic feedback message 198; no real customer data.,3,1,100448
500198,APPLICATION,2024-06-23 10:09:00,Synthetic feedback message 199; no real customer data.,4,1,100449
500199,PORTAL,2022-04-01 21:50:33,Synthetic feedback message 200; no real customer data.,5,1,100450
500200,SERVICE,2025-12-22 17:26:38,Synthetic feedback message 201; no real customer data.,1,0,100451
500201,PAYMENT,2025-12-21 11:10:44,Synthetic feedback message 202; no real customer data.,2,1,100452
500202,CLAIM,2024-08-16 14:03:45,Synthetic feedback message 203; no real customer data.,3,1,100453
500203,APPLICATION,2023-09-02 18:41:14,Synthetic feedback message 204; no real customer data.,4,1,100454
500204,PORTAL,2026-05-23 13:28:37,Synthetic feedback message 205; no real customer data.,5,0,100455
500205,SERVICE,2025-09-17 05:26:45,Synthetic feedback message 206; no real customer data.,1,1,100456
500206,PAYMENT,2022-05-06 13:19:21,Synthetic feedback message 207; no real customer data.,2,1,100457
500207,CLAIM,2022-01-31 05:01:49,Synthetic feedback message 208; no real customer data.,3,1,100458
500208,APPLICATION,2026-04-23 14:11:53,Synthetic feedback message 209; no real customer data.,4,0,100459
500209,PORTAL,2025-11-22 18:14:38,Synthetic feedback message 210; no real customer data.,5,1,100460
500210,SERVICE,2023-09-23 04:43:00,Synthetic feedback message 211; no real customer data.,1,1,100461
500211,PAYMENT,2022-02-03 06:41:28,Synthetic feedback message 212; no real customer data.,2,1,100462
500212,CLAIM,2024-03-18 13:58:33,Synthetic feedback message 213; no real customer data.,3,0,100463
500213,APPLICATION,2025-02-15 14:24:03,Synthetic feedback message 214; no real customer data.,4,1,100464
500214,PORTAL,2025-10-17 14:18:21,Synthetic feedback message 215; no real customer data.,5,1,100465
500215,SERVICE,2023-02-23 07:27:14,Synthetic feedback message 216; no real customer data.,1,1,100466
500216,PAYMENT,2023-08-06 16:11:32,Synthetic feedback message 217; no real customer data.,2,0,100467
500217,CLAIM,2023-06-23 22:51:55,Synthetic feedback message 218; no real customer data.,3,1,100468
500218,APPLICATION,2024-05-11 19:35:56,Synthetic feedback message 219; no real customer data.,4,1,100469
500219,PORTAL,2023-01-12 06:39:33,Synthetic feedback message 220; no real customer data.,5,1,100470
500220,SERVICE,2024-09-27 11:14:36,Synthetic feedback message 221; no real customer data.,1,0,100471
500221,PAYMENT,2025-06-24 08:14:35,Synthetic feedback message 222; no real customer data.,2,1,100472
500222,CLAIM,2023-04-13 12:26:32,Synthetic feedback message 223; no real customer data.,3,1,100473
500223,APPLICATION,2023-03-12 02:10:16,Synthetic feedback message 224; no real customer data.,4,1,100474
500224,PORTAL,2026-04-29 14:12:00,Synthetic feedback message 225; no real customer data.,5,0,100475
500225,SERVICE,2024-01-28 23:45:05,Synthetic feedback message 226; no real customer data.,1,1,100476
500226,PAYMENT,2023-02-15 22:51:10,Synthetic feedback message 227; no real customer data.,2,1,100477
500227,CLAIM,2022-09-03 12:28:21,Synthetic feedback message 228; no real customer data.,3,1,100478
500228,APPLICATION,2022-09-06 19:35:34,Synthetic feedback message 229; no real customer data.,4,0,100479
500229,PORTAL,2021-12-20 19:27:06,Synthetic feedback message 230; no real customer data.,5,1,100480
500230,SERVICE,2022-05-06 07:00:05,Synthetic feedback message 231; no real customer data.,1,1,100481
500231,PAYMENT,2026-08-03 11:12:32,Synthetic feedback message 232; no real customer data.,2,1,100482
500232,CLAIM,2023-05-02 23:34:39,Synthetic feedback message 233; no real customer data.,3,0,100483
500233,APPLICATION,2024-09-30 04:27:41,Synthetic feedback message 234; no real customer data.,4,1,100484
500234,PORTAL,2025-09-11 12:50:10,Synthetic feedback message 235; no real customer data.,5,1,100485
500235,SERVICE,2026-01-27 22:35:29,Synthetic feedback message 236; no real customer data.,1,1,100486
500236,PAYMENT,2024-01-12 12:34:51,Synthetic feedback message 237; no real customer data.,2,0,100487
500237,CLAIM,2022-11-15 16:33:49,Synthetic feedback message 238; no real customer data.,3,1,100488
500238,APPLICATION,2022-01-25 02:48:27,Synthetic feedback message 239; no real customer data.,4,1,100489
500239,PORTAL,2022-07-30 04:12:30,Synthetic feedback message 240; no real customer data.,5,1,100490
500240,SERVICE,2021-10-31 21:22:16,Synthetic feedback message 241; no real customer data.,1,0,100491
500241,PAYMENT,2022-11-16 17:09:15,Synthetic feedback message 242; no real customer data.,2,1,100492
500242,CLAIM,2022-06-20 18:58:40,Synthetic feedback message 243; no real customer data.,3,1,100493
500243,APPLICATION,2025-09-28 07:01:05,Synthetic feedback message 244; no real customer data.,4,1,100494
500244,PORTAL,2024-03-28 02:22:49,Synthetic feedback message 245; no real customer data.,5,0,100495
500245,SERVICE,2026-06-22 20:45:40,Synthetic feedback message 246; no real customer data.,1,1,100496
500246,PAYMENT,2024-07-07 08:07:23,Synthetic feedback message 247; no real customer data.,2,1,100497
500247,CLAIM,2023-07-04 16:45:14,Synthetic feedback message 248; no real customer data.,3,1,100498
500248,APPLICATION,2026-08-19 21:55:19,Synthetic feedback message 249; no real customer data.,4,0,100499
500249,PORTAL,2024-05-20 07:30:52,Synthetic feedback message 250; no real customer data.,5,1,100500
500250,SERVICE,2022-04-09 16:02:08,Synthetic feedback message 251; no real customer data.,1,1,100501
500251,PAYMENT,2025-11-05 12:27:38,Synthetic feedback message 252; no real customer data.,2,1,100502
500252,CLAIM,2025-09-03 01:16:17,Synthetic feedback message 253; no real customer data.,3,0,100503
500253,APPLICATION,2025-05-04 15:22:17,Synthetic feedback message 254; no real customer data.,4,1,100504
500254,PORTAL,2022-11-02 18:21:19,Synthetic feedback message 255; no real customer data.,5,1,100505
500255,SERVICE,2025-01-28 23:37:36,Synthetic feedback message 256; no real customer data.,1,1,100506
500256,PAYMENT,2022-11-04 13:27:48,Synthetic feedback message 257; no real customer data.,2,0,100507
500257,CLAIM,2024-12-14 01:20:44,Synthetic feedback message 258; no real customer data.,3,1,100508
500258,APPLICATION,2025-06-01 12:35:34,Synthetic feedback message 259; no real customer data.,4,1,100509
500259,PORTAL,2025-02-19 14:36:57,Synthetic feedback message 260; no real customer data.,5,1,100510
500260,SERVICE,2022-10-20 18:06:48,Synthetic feedback message 261; no real customer data.,1,0,100511
500261,PAYMENT,2024-02-18 01:44:52,Synthetic feedback message 262; no real customer data.,2,1,100512
500262,CLAIM,2022-07-12 18:13:26,Synthetic feedback message 263; no real customer data.,3,1,100513
500263,APPLICATION,2023-12-18 09:08:09,Synthetic feedback message 264; no real customer data.,4,1,100514
500264,PORTAL,2025-08-22 05:23:24,Synthetic feedback message 265; no real customer data.,5,0,100515
500265,SERVICE,2022-04-24 13:24:29,Synthetic feedback message 266; no real customer data.,1,1,100516
500266,PAYMENT,2025-04-16 06:04:34,Synthetic feedback message 267; no real customer data.,2,1,100517
500267,CLAIM,2023-07-24 05:04:33,Synthetic feedback message 268; no real customer data.,3,1,100518
500268,APPLICATION,2025-03-09 15:37:39,Synthetic feedback message 269; no real customer data.,4,0,100519
500269,PORTAL,2025-07-11 10:26:06,Synthetic feedback message 270; no real customer data.,5,1,100520
500270,SERVICE,2023-11-20 16:50:58,Synthetic feedback message 271; no real customer data.,1,1,100521
500271,PAYMENT,2025-03-10 22:10:04,Synthetic feedback message 272; no real customer data.,2,1,100522
500272,CLAIM,2025-03-25 08:00:07,Synthetic feedback message 273; no real customer data.,3,0,100523
500273,APPLICATION,2025-08-10 16:57:41,Synthetic feedback message 274; no real customer data.,4,1,100524
500274,PORTAL,2023-07-20 23:35:43,Synthetic feedback message 275; no real customer data.,5,1,100525
500275,SERVICE,2022-12-04 23:59:05,Synthetic feedback message 276; no real customer data.,1,1,100526
500276,PAYMENT,2026-05-17 22:45:49,Synthetic feedback message 277; no real customer data.,2,0,100527
500277,CLAIM,2024-05-26 12:42:31,Synthetic feedback message 278; no real customer data.,3,1,100528
500278,APPLICATION,2021-09-21 14:35:44,Synthetic feedback message 279; no real customer data.,4,1,100529
500279,PORTAL,2025-11-01 06:33:23,Synthetic feedback message 280; no real customer data.,5,1,100530
500280,SERVICE,2024-11-14 08:01:01,Synthetic feedback message 281; no real customer data.,1,0,100531
500281,PAYMENT,2026-02-27 22:57:04,Synthetic feedback message 282; no real customer data.,2,1,100532
500282,CLAIM,2025-07-12 12:07:05,Synthetic feedback message 283; no real customer data.,3,1,100533
500283,APPLICATION,2025-05-13 02:15:24,Synthetic feedback message 284; no real customer data.,4,1,100534
500284,PORTAL,2026-04-09 18:14:04,Synthetic feedback message 285; no real customer data.,5,0,100535
500285,SERVICE,2022-02-27 21:41:19,Synthetic feedback message 286; no real customer data.,1,1,100536
500286,PAYMENT,2025-02-24 22:58:49,Synthetic feedback message 287; no real customer data.,2,1,100537
500287,CLAIM,2024-12-30 06:37:54,Synthetic feedback message 288; no real customer data.,3,1,100538
