employee_id,department,job_title,years_experience,performance_score,base_salary,allowances,overtime_hours,bonus,tax_rate,pension_rate,net_salary,record_month,synthetic
SYN-EMP-000025,Claims,Manager,3,3.4,624000.00,49920.00,24,0.00,5,2,556969.66,2024-08,True
SYN-EMP-000026,Policy,Assistant,4,3.5,392000.00,31360.00,0,3920.00,6,2,356418.72,2024-07,True
SYN-EMP-000027,Finance,Officer,5,3.6,485000.00,38800.00,1,9700.00,7,2,447926.29,2024-06,True
SYN-EMP-000028,Customer Service,Senior Officer,6,3.7,578000.00,46240.00,2,17340.00,8,2,526025.83,2024-05,True
SYN-EMP-000029,IT,Team Lead,7,3.8,671000.00,53680.00,3,26840.00,9,2,638378.04,2024-04,True
SYN-EMP-000030,Sales,Manager,8,3.9,764000.00,61120.00,4,38200.00,10,2,734693.15,2024-03,True
SYN-EMP-000031,Claims,Assistant,9,4.0,532000.00,42560.00,5,0.00,5,2,504188.68,2024-02,True
SYN-EMP-000032,Policy,Officer,10,4.1,625000.00,50000.00,6,6250.00,6,2,574321.47,2024-01,True
SYN-EMP-000033,Finance,Senior Officer,11,4.2,718000.00,57440.00,7,14360.00,7,2,683141.15,2023-12,True
SYN-EMP-000034,Customer Service,Team Lead,12,4.3,811000.00,64880.00,8,24330.00,8,2,758940.09,2023-11,True
SYN-EMP-000035,IT,Manager,13,4.4,904000.00,72320.00,9,36160.00,9,2,836339.22,2023-10,True
SYN-EMP-000036,Sales,Assistant,14,4.5,672000.00,53760.00,10,33600.00,10,2,624526.69,2023-09,True
SYN-EMP-000037,Claims,Officer,15,4.6,765000.00,61200.00,11,0.00,5,2,709964.39,2023-08,True
SYN-EMP-000038,Policy,Senior Officer,16,4.7,858000.00,68640.00,12,8580.00,6,2,808340.66,2023-07,True
SYN-EMP-000039,Finance,Team Lead,17,4.8,951000.00,76080.00,13,19020.00,7,2,878959.49,2023-06,True
SYN-EMP-000040,Customer Service,Manager,18,4.9,1044000.00,83520.00,14,31320.00,8,2,991599.33,2023-05,True
SYN-EMP-000041,IT,Assistant,19,5.0,812000.00,64960.00,15,32480.00,9,2,764082.35,2023-04,True
SYN-EMP-000042,Sales,Officer,20,1.0,905000.00,72400.00,16,45250.00,10,2,801089.26,2023-03,True
SYN-EMP-000043,Claims,Senior Officer,0,1.1,410000.00,32800.00,17,0.00,5,2,353930.26,2023-02,True
SYN-EMP-000044,Policy,Team Lead,1,1.2,503000.00,40240.00,18,5030.00,6,2,432648.54,2023-01,True
SYN-EMP-000045,Finance,Manager,2,1.3,596000.00,47680.00,19,11920.00,7,2,518763.55,2022-12,True
SYN-EMP-000046,Customer Service,Assistant,3,1.4,364000.00,29120.00,20,10920.00,8,2,328887.53,2022-11,True
SYN-EMP-000047,IT,Officer,4,1.5,457000.00,36560.00,21,18280.00,9,2,387824.67,2022-10,True
SYN-EMP-000048,Sales,Senior Officer,5,1.6,550000.00,44000.00,22,27500.00,10,2,498850.35,2022-09,True
SYN-EMP-000049,Claims,Team Lead,6,1.7,643000.00,51440.00,23,0.00,5,2,582172.44,2022-08,True
SYN-EMP-000050,Policy,Manager,7,1.8,736000.00,58880.00,24,7360.00,6,2,651965.56,2022-07,True
SYN-EMP-000051,Finance,Assistant,8,1.9,504000.00,40320.00,0,10080.00,7,2,466183.75,2022-06,True
SYN-EMP-000052,Customer Service,Officer,9,2.0,597000.00,47760.00,1,17910.00,8,2,544576.74,2022-05,True
SYN-EMP-000053,IT,Senior Officer,10,2.1,690000.00,55200.00,2,27600.00,9,2,604086.36,2022-04,True
SYN-EMP-000054,Sales,Team Lead,11,2.2,783000.00,62640.00,3,39150.00,10,2,709471.90,2022-03,True
SYN-EMP-000055,Claims,Manager,12,2.3,876000.00,70080.00,4,0.00,5,2,785843.76,2022-02,True
SYN-EMP-000056,Policy,Assistant,13,2.4,644000.00,51520.00,5,6440.00,6,2,585196.53,2022-01,True
SYN-EMP-000057,Finance,Officer,14,2.5,737000.00,58960.00,6,14740.00,7,2,678328.88,2021-12,True
SYN-EMP-000058,Customer Service,Senior Officer,15,2.6,830000.00,66400.00,7,24900.00,8,2,768752.08,2021-11,True
SYN-EMP-000059,IT,Team Lead,16,2.7,923000.00,73840.00,8,36920.00,9,2,863581.16,2021-10,True
SYN-EMP-000060,Sales,Manager,17,2.8,1016000.00,81280.00,9,50800.00,10,2,942388.18,2021-09,True
SYN-EMP-000061,Claims,Assistant,18,2.9,784000.00,62720.00,10,0.00,5,2,732716.34,2026-08,True
SYN-EMP-000062,Policy,Officer,19,3.0,877000.00,70160.00,11,8770.00,6,2,796930.71,2026-07,True
SYN-EMP-000063,Finance,Senior Officer,20,3.1,970000.00,77600.00,12,19400.00,7,2,900908.64,2026-06,True
SYN-EMP-000064,Customer Service,Team Lead,0,3.2,475000.00,38000.00,13,14250.00,8,2,435736.25,2026-05,True
SYN-EMP-000065,IT,Manager,1,3.3,568000.00,45440.00,14,22720.00,9,2,526410.26,2026-04,True
SYN-EMP-000066,Sales,Assistant,2,3.4,336000.00,26880.00,15,16800.00,10,2,284635.96,2026-03,True
SYN-EMP-000067,Claims,Officer,3,3.5,429000.00,34320.00,16,0.00,5,2,383550.70,2026-02,True
SYN-EMP-000068,Policy,Senior Officer,4,3.6,522000.00,41760.00,17,5220.00,6,2,476806.32,2026-01,True
SYN-EMP-000069,Finance,Team Lead,5,3.7,615000.00,49200.00,18,12300.00,7,2,594153.91,2025-12,True
SYN-EMP-000070,Customer Service,Manager,6,3.8,708000.00,56640.00,19,21240.00,8,2,641220.15,2025-11,True
SYN-EMP-000071,IT,Assistant,7,3.9,476000.00,38080.00,20,19040.00,9,2,453076.83,2025-10,True
SYN-EMP-000072,Sales,Officer,8,4.0,569000.00,45520.00,21,28450.00,10,2,553365.07,2025-09,True
SYN-EMP-000073,Claims,Senior Officer,9,4.1,662000.00,52960.00,22,0.00,5,2,596536.43,2025-08,True
SYN-EMP-000074,Policy,Team Lead,10,4.2,755000.00,60400.00,23,7550.00,6,2,697022.18,2025-07,True
SYN-EMP-000075,Finance,Manager,11,4.3,848000.00,67840.00,24,16960.00,7,2,807280.96,2025-06,True
SYN-EMP-000076,Customer Service,Assistant,12,4.4,616000.00,49280.00,0,18480.00,8,2,557461.54,2025-05,True
SYN-EMP-000077,IT,Officer,13,4.5,709000.00,56720.00,1,28360.00,9,2,675561.57,2025-04,True
SYN-EMP-000078,Sales,Senior Officer,14,4.6,802000.00,64160.00,2,40100.00,10,2,745227.61,2025-03,True
SYN-EMP-000079,Claims,Team Lead,15,4.7,895000.00,71600.00,3,0.00,5,2,834666.97,2025-02,True
SYN-EMP-000080,Policy,Manager,16,4.8,988000.00,79040.00,4,9880.00,6,2,917065.02,2025-01,True
SYN-EMP-000081,Finance,Assistant,17,4.9,756000.00,60480.00,5,15120.00,7,2,698573.25,2024-12,True
SYN-EMP-000082,Customer Service,Officer,18,5.0,849000.00,67920.00,6,25470.00,8,2,812885.07,2024-11,True
SYN-EMP-000083,IT,Senior Officer,19,1.0,942000.00,75360.00,7,37680.00,9,2,840771.19,2024-10,True
SYN-EMP-000084,Sales,Team Lead,20,1.1,1035000.00,82800.00,8,51750.00,10,2,925507.85,2024-09,True
SYN-EMP-000085,Claims,Manager,0,1.2,540000.00,43200.00,9,0.00,5,2,456009.58,2024-08,True
SYN-EMP-000086,Policy,Assistant,1,1.3,308000.00,24640.00,10,3080.00,6,2,296538.04,2024-07,True
SYN-EMP-000087,Finance,Officer,2,1.4,401000.00,32080.00,11,8020.00,7,2,370894.23,2024-06,True
SYN-EMP-000088,Customer Service,Senior Officer,3,1.5,494000.00,39520.00,12,14820.00,8,2,423944.89,2024-05,True
SYN-EMP-000089,IT,Team Lead,4,1.6,587000.00,46960.00,13,23480.00,9,2,500926.55,2024-04,True
SYN-EMP-000090,Sales,Manager,5,1.7,680000.00,54400.00,14,34000.00,10,2,589670.67,2024-03,True
SYN-EMP-000091,Claims,Assistant,6,1.8,448000.00,35840.00,15,0.00,5,2,395942.61,2024-02,True
SYN-EMP-000092,Policy,Officer,7,1.9,541000.00,43280.00,16,5410.00,6,2,489164.93,2024-01,True
SYN-EMP-000093,Finance,Senior Officer,8,2.0,634000.00,50720.00,17,12680.00,7,2,559946.54,2023-12,True
SYN-EMP-000094,Customer Service,Team Lead,9,2.1,727000.00,58160.00,18,21810.00,8,2,658610.51,2023-11,True
SYN-EMP-000095,IT,Manager,10,2.2,820000.00,65600.00,19,32800.00,9,2,758488.59,2023-10,True
SYN-EMP-000096,Sales,Assistant,11,2.3,588000.00,47040.00,20,29400.00,10,2,535201.97,2023-09,True
SYN-EMP-000097,Claims,Officer,12,2.4,681000.00,54480.00,21,0.00,5,2,639270.00,2023-08,True
SYN-EMP-000098,Policy,Senior Officer,13,2.5,774000.00,61920.00,22,7740.00,6,2,677826.20,2023-07,True
SYN-EMP-000099,Finance,Team Lead,14,2.6,867000.00,69360.00,23,17340.00,7,2,781815.15,2023-06,True
SYN-EMP-000100,Customer Service,Manager,15,2.7,960000.00,76800.00,24,28800.00,8,2,856085.82,2023-05,True
SYN-EMP-000101,IT,Assistant,16,2.8,728000.00,58240.00,0,29120.00,9,2,658151.12,2023-04,True
SYN-EMP-000102,Sales,Officer,17,2.9,821000.00,65680.00,1,41050.00,10,2,752613.95,2023-03,True
SYN-EMP-000103,Claims,Senior Officer,18,3.0,914000.00,73120.00,2,0.00,5,2,854426.92,2023-02,True
SYN-EMP-000104,Policy,Team Lead,19,3.1,1007000.00,80560.00,3,10070.00,6,2,939579.76,2023-01,True
SYN-EMP-000105,Finance,Manager,20,3.2,1100000.00,88000.00,4,22000.00,7,2,1005469.56,2022-12,True
SYN-EMP-000106,Customer Service,Assistant,0,3.3,280000.00,22400.00,5,8400.00,8,2,234467.23,2022-11,True
SYN-EMP-000107,IT,Officer,1,3.4,373000.00,29840.00,6,14920.00,9,2,344519.88,2022-10,True
SYN-EMP-000108,Sales,Senior Officer,2,3.5,466000.00,37280.00,7,23300.00,10,2,432630.17,2022-09,True
SYN-EMP-000109,Claims,Team Lead,3,3.6,559000.00,44720.00,8,0.00,5,2,524648.51,2022-08,True
SYN-EMP-000110,Policy,Manager,4,3.7,652000.00,52160.00,9,6520.00,6,2,617252.28,2022-07,True
SYN-EMP-000111,Finance,Assistant,5,3.8,420000.00,33600.00,10,8400.00,7,2,403637.78,2022-06,True
SYN-EMP-000112,Customer Service,Officer,6,3.9,513000.00,41040.00,11,15390.00,8,2,480727.98,2022-05,True
SYN-EMP-000113,IT,Senior Officer,7,4.0,606000.00,48480.00,12,24240.00,9,2,542762.55,2022-04,True
SYN-EMP-000114,Sales,Team Lead,8,4.1,699000.00,55920.00,13,34950.00,10,2,649339.95,2022-03,True
SYN-EMP-000115,Claims,Manager,9,4.2,792000.00,63360.00,14,0.00,5,2,729291.71,2022-02,True
SYN-EMP-000116,Policy,Assistant,10,4.3,560000.00,44800.00,15,5600.00,6,2,523736.94,2022-01,True
SYN-EMP-000117,Finance,Officer,11,4.4,653000.00,52240.00,16,13060.00,7,2,631202.89,2021-12,True
SYN-EMP-000118,Customer Service,Senior Officer,12,4.5,746000.00,59680.00,17,22380.00,8,2,679046.61,2021-11,True
SYN-EMP-000119,IT,Team Lead,13,4.6,839000.00,67120.00,18,33560.00,9,2,798941.52,2021-10,True
SYN-EMP-000120,Sales,Manager,14,4.7,932000.00,74560.00,19,46600.00,10,2,898778.47,2021-09,True
SYN-EMP-000121,Claims,Assistant,15,4.8,700000.00,56000.00,20,0.00,5,2,671303.03,2026-08,True
SYN-EMP-000122,Policy,Officer,16,4.9,793000.00,63440.00,21,7930.00,6,2,755860.18,2026-07,True
SYN-EMP-000123,Finance,Senior Officer,17,5.0,886000.00,70880.00,22,17720.00,7,2,836997.44,2026-06,True
SYN-EMP-000124,Customer Service,Team Lead,18,1.0,979000.00,78320.00,23,29370.00,8,2,841599.78,2026-05,True
SYN-EMP-000125,IT,Manager,19,1.1,1072000.00,85760.00,24,42880.00,9,2,946231.69,2026-04,True
SYN-EMP-000126,Sales,Assistant,20,1.2,840000.00,67200.00,0,42000.00,10,2,717285.49,2026-03,True
SYN-EMP-000127,Claims,Officer,0,1.3,345000.00,27600.00,1,0.00,5,2,298302.69,2026-02,True
SYN-EMP-000128,Policy,Senior Officer,1,1.4,438000.00,35040.00,2,4380.00,6,2,378641.08,2026-01,True
SYN-EMP-000129,Finance,Team Lead,2,1.5,531000.00,42480.00,3,10620.00,7,2,474500.87,2025-12,True
SYN-EMP-000130,Customer Service,Manager,3,1.6,624000.00,49920.00,4,18720.00,8,2,572902.78,2025-11,True
SYN-EMP-000131,IT,Assistant,4,1.7,392000.00,31360.00,5,15680.00,9,2,344273.76,2025-10,True
SYN-EMP-000132,Sales,Officer,5,1.8,485000.00,38800.00,6,24250.00,10,2,429561.66,2025-09,True
SYN-EMP-000133,Claims,Senior Officer,6,1.9,578000.00,46240.00,7,0.00,5,2,523615.83,2025-08,True
SYN-EMP-000134,Policy,Team Lead,7,2.0,671000.00,53680.00,8,6710.00,6,2,598095.68,2025-07,True
SYN-EMP-000135,Finance,Manager,8,2.1,764000.00,61120.00,9,15280.00,7,2,675103.36,2025-06,True
SYN-EMP-000136,Customer Service,Assistant,9,2.2,532000.00,42560.00,10,15960.00,8,2,486385.60,2025-05,True
SYN-EMP-000137,IT,Officer,10,2.3,625000.00,50000.00,11,25000.00,9,2,567993.63,2025-04,True
SYN-EMP-000138,Sales,Senior Officer,11,2.4,718000.00,57440.00,12,35900.00,10,2,625581.32,2025-03,True
SYN-EMP-000139,Claims,Team Lead,12,2.5,811000.00,64880.00,13,0.00,5,2,727890.87,2025-02,True
SYN-EMP-000140,Policy,Manager,13,2.6,904000.00,72320.00,14,9040.00,6,2,826404.25,2025-01,True
SYN-EMP-000141,Finance,Assistant,14,2.7,672000.00,53760.00,15,13440.00,7,2,590810.87,2024-12,True
SYN-EMP-000142,Customer Service,Officer,15,2.8,765000.00,61200.00,16,22950.00,8,2,673377.78,2024-11,True
SYN-EMP-000143,IT,Senior Officer,16,2.9,858000.00,68640.00,17,34320.00,9,2,758469.21,2024-10,True
SYN-EMP-000144,Sales,Team Lead,17,3.0,951000.00,76080.00,18,47550.00,10,2,844634.22,2024-09,True
SYN-EMP-000145,Claims,Manager,18,3.1,1044000.00,83520.00,19,0.00,5,2,951038.82,2024-08,True
SYN-EMP-000146,Policy,Assistant,19,3.2,812000.00,64960.00,20,8120.00,6,2,723300.04,2024-07,True
SYN-EMP-000147,Finance,Officer,20,3.3,905000.00,72400.00,21,18100.00,7,2,811757.31,2024-06,True
SYN-EMP-000148,Customer Service,Senior Officer,0,3.4,410000.00,32800.00,22,12300.00,8,2,354362.22,2024-05,True
SYN-EMP-000149,IT,Team Lead,1,3.5,503000.00,40240.00,23,20120.00,9,2,440788.32,2024-04,True
SYN-EMP-000150,Sales,Manager,2,3.6,596000.00,47680.00,24,29800.00,10,2,561210.14,2024-03,True
SYN-EMP-000151,Claims,Assistant,3,3.7,364000.00,29120.00,0,0.00,5,2,358806.59,2024-02,True
SYN-EMP-000152,Policy,Officer,4,3.8,457000.00,36560.00,1,4570.00,6,2,411645.43,2024-01,True
SYN-EMP-000153,Finance,Senior Officer,5,3.9,550000.00,44000.00,2,11000.00,7,2,520749.02,2023-12,True
SYN-EMP-000154,Customer Service,Team Lead,6,4.0,643000.00,51440.00,3,19290.00,8,2,580088.69,2023-11,True
SYN-EMP-000155,IT,Manager,7,4.1,736000.00,58880.00,4,29440.00,9,2,699546.00,2023-10,True
SYN-EMP-000156,Sales,Assistant,8,4.2,504000.00,40320.00,5,25200.00,10,2,468818.45,2023-09,True
SYN-EMP-000157,Claims,Officer,9,4.3,597000.00,47760.00,6,0.00,5,2,542073.64,2023-08,True
SYN-EMP-000158,Policy,Senior Officer,10,4.4,690000.00,55200.00,7,6900.00,6,2,653571.59,2023-07,True
SYN-EMP-000159,Finance,Team Lead,11,4.5,783000.00,62640.00,8,15660.00,7,2,720251.11,2023-06,True
SYN-EMP-000160,Customer Service,Manager,12,4.6,876000.00,70080.00,9,26280.00,8,2,808064.22,2023-05,True
SYN-EMP-000161,IT,Assistant,13,4.7,644000.00,51520.00,10,25760.00,9,2,615534.02,2023-04,True
SYN-EMP-000162,Sales,Officer,14,4.8,737000.00,58960.00,11,36850.00,10,2,678727.14,2023-03,True
SYN-EMP-000163,Claims,Senior Officer,15,4.9,830000.00,66400.00,12,0.00,5,2,773812.72,2023-02,True
SYN-EMP-000164,Policy,Team Lead,16,5.0,923000.00,73840.00,13,9230.00,6,2,879733.56,2023-01,True
SYN-EMP-000165,Finance,Manager,17,1.0,1016000.00,81280.00,14,20320.00,7,2,910938.00,2022-12,True
SYN-EMP-000166,Customer Service,Assistant,18,1.1,784000.00,62720.00,15,23520.00,8,2,700966.45,2022-11,True
SYN-EMP-000167,IT,Officer,19,1.2,877000.00,70160.00,16,35080.00,9,2,793230.62,2022-10,True
SYN-EMP-000168,Sales,Senior Officer,20,1.3,970000.00,77600.00,17,48500.00,10,2,854275.78,2022-09,True
SYN-EMP-000169,Claims,Team Lead,0,1.4,475000.00,38000.00,18,0.00,5,2,400198.64,2022-08,True
SYN-EMP-000170,Policy,Manager,1,1.5,568000.00,45440.00,19,5680.00,6,2,481475.08,2022-07,True
SYN-EMP-000171,Finance,Assistant,2,1.6,336000.00,26880.00,20,6720.00,7,2,323116.87,2022-06,True
SYN-EMP-000172,Customer Service,Officer,3,1.7,429000.00,34320.00,21,12870.00,8,2,361793.30,2022-05,True
SYN-EMP-000173,IT,Senior Officer,4,1.8,522000.00,41760.00,22,20880.00,9,2,441584.04,2022-04,True
SYN-EMP-000174,Sales,Team Lead,5,1.9,615000.00,49200.00,23,30750.00,10,2,538202.47,2022-03,True
SYN-EMP-000175,Claims,Manager,6,2.0,708000.00,56640.00,24,0.00,5,2,635748.82,2022-02,True
SYN-EMP-000176,Policy,Assistant,7,2.1,476000.00,38080.00,0,4760.00,6,2,420390.73,2022-01,True
SYN-EMP-000177,Finance,Officer,8,2.2,569000.00,45520.00,1,11380.00,7,2,506183.97,2021-12,True
SYN-EMP-000178,Customer Service,Senior Officer,9,2.3,662000.00,52960.00,2,19860.00,8,2,574767.83,2021-11,True
SYN-EMP-000179,IT,Team Lead,10,2.4,755000.00,60400.00,3,30200.00,9,2,690624.66,2021-10,True
SYN-EMP-000180,Sales,Manager,11,2.5,848000.00,67840.00,4,42400.00,10,2,791276.84,2021-09,True
SYN-EMP-000181,Claims,Assistant,12,2.6,616000.00,49280.00,5,0.00,5,2,542257.36,2026-08,True
SYN-EMP-000182,Policy,Officer,13,2.7,709000.00,56720.00,6,7090.00,6,2,661728.70,2026-07,True
SYN-EMP-000183,Finance,Senior Officer,14,2.8,802000.00,64160.00,7,16040.00,7,2,710164.14,2026-06,True
SYN-EMP-000184,Customer Service,Team Lead,15,2.9,895000.00,71600.00,8,26850.00,8,2,826696.60,2026-05,True
SYN-EMP-000185,IT,Manager,16,3.0,988000.00,79040.00,9,39520.00,9,2,922559.90,2026-04,True
SYN-EMP-000186,Sales,Assistant,17,3.1,756000.00,60480.00,10,37800.00,10,2,715679.46,2026-03,True
SYN-EMP-000187,Claims,Officer,18,3.2,849000.00,67920.00,11,0.00,5,2,755507.73,2026-02,True
SYN-EMP-000188,Policy,Senior Officer,19,3.3,942000.00,75360.00,12,9420.00,6,2,886582.72,2026-01,True
SYN-EMP-000189,Finance,Team Lead,20,3.4,1035000.00,82800.00,13,20700.00,7,2,952072.52,2025-12,True
SYN-EMP-000190,Customer Service,Manager,0,3.5,540000.00,43200.00,14,16200.00,8,2,482885.19,2025-11,True
SYN-EMP-000191,IT,Assistant,1,3.6,308000.00,24640.00,15,12320.00,9,2,303975.01,2025-10,True
SYN-EMP-000192,Sales,Officer,2,3.7,401000.00,32080.00,16,20050.00,10,2,356926.51,2025-09,True
SYN-EMP-000193,Claims,Senior Officer,3,3.8,494000.00,39520.00,17,0.00,5,2,466702.99,2025-08,True
SYN-EMP-000194,Policy,Team Lead,4,3.9,587000.00,46960.00,18,5870.00,6,2,567443.22,2025-07,True
SYN-EMP-000195,Finance,Manager,5,4.0,680000.00,54400.00,19,13600.00,7,2,612525.76,2025-06,True
SYN-EMP-000196,Customer Service,Assistant,6,4.1,448000.00,35840.00,20,13440.00,8,2,416963.82,2025-05,True
SYN-EMP-000197,IT,Officer,7,4.2,541000.00,43280.00,21,21640.00,9,2,488114.44,2025-04,True
SYN-EMP-000198,Sales,Senior Officer,8,4.3,634000.00,50720.00,22,31700.00,10,2,616298.07,2025-03,True
SYN-EMP-000199,Claims,Team Lead,9,4.4,727000.00,58160.00,23,0.00,5,2,689869.18,2025-02,True
SYN-EMP-000200,Policy,Manager,10,4.5,820000.00,65600.00,24,8200.00,6,2,779553.73,2025-01,True
SYN-EMP-000201,Finance,Assistant,11,4.6,588000.00,47040.00,0,11760.00,7,2,573365.83,2024-12,True
SYN-EMP-000202,Customer Service,Officer,12,4.7,681000.00,54480.00,1,20430.00,8,2,623869.26,2024-11,True
SYN-EMP-000203,IT,Senior Officer,13,4.8,774000.00,61920.00,2,30960.00,9,2,709131.52,2024-10,True
SYN-EMP-000204,Sales,Team Lead,14,4.9,867000.00,69360.00,3,43350.00,10,2,829622.54,2024-09,True
SYN-EMP-000205,Claims,Manager,15,5.0,960000.00,76800.00,4,0.00,5,2,890148.83,2024-08,True
SYN-EMP-000206,Policy,Assistant,16,1.0,728000.00,58240.00,5,7280.00,6,2,631479.50,2024-07,True
SYN-EMP-000207,Finance,Officer,17,1.1,821000.00,65680.00,6,16420.00,7,2,700451.79,2024-06,True
SYN-EMP-000208,Customer Service,Senior Officer,18,1.2,914000.00,73120.00,7,27420.00,8,2,810815.66,2024-05,True
SYN-EMP-000209,IT,Team Lead,19,1.3,1007000.00,80560.00,8,40280.00,9,2,874794.81,2024-04,True
SYN-EMP-000210,Sales,Manager,20,1.4,1100000.00,88000.00,9,55000.00,10,2,968654.61,2024-03,True
SYN-EMP-000211,Claims,Assistant,0,1.5,280000.00,22400.00,10,0.00,5,2,273336.58,2024-02,True
SYN-EMP-000212,Policy,Officer,1,1.6,373000.00,29840.00,11,3730.00,6,2,307562.11,2024-01,True
SYN-EMP-000213,Finance,Senior Officer,2,1.7,466000.00,37280.00,12,9320.00,7,2,402978.42,2023-12,True
SYN-EMP-000214,Customer Service,Team Lead,3,1.8,559000.00,44720.00,13,16770.00,8,2,489847.73,2023-11,True
SYN-EMP-000215,IT,Manager,4,1.9,652000.00,52160.00,14,26080.00,9,2,596790.06,2023-10,True
SYN-EMP-000216,Sales,Assistant,5,2.0,420000.00,33600.00,15,21000.00,10,2,388667.24,2023-09,True
SYN-EMP-000217,Claims,Officer,6,2.1,513000.00,41040.00,16,0.00,5,2,446440.85,2023-08,True
SYN-EMP-000218,Policy,Senior Officer,7,2.2,606000.00,48480.00,17,6060.00,6,2,559485.86,2023-07,True
SYN-EMP-000219,Finance,Team Lead,8,2.3,699000.00,55920.00,18,13980.00,7,2,630136.91,2023-06,True
SYN-EMP-000220,Customer Service,Manager,9,2.4,792000.00,63360.00,19,23760.00,8,2,723364.01,2023-05,True
SYN-EMP-000221,IT,Assistant,10,2.5,560000.00,44800.00,20,22400.00,9,2,506978.63,2023-04,True
SYN-EMP-000222,Sales,Officer,11,2.6,653000.00,52240.00,21,32650.00,10,2,616214.63,2023-03,True
SYN-EMP-000223,Claims,Senior Officer,12,2.7,746000.00,59680.00,22,0.00,5,2,685180.41,2023-02,True
SYN-EMP-000224,Policy,Team Lead,13,2.8,839000.00,67120.00,23,8390.00,6,2,786238.97,2023-01,True
SYN-EMP-000225,Finance,Manager,14,2.9,932000.00,74560.00,24,18640.00,7,2,827022.30,2022-12,True
SYN-EMP-000226,Customer Service,Assistant,15,3.0,700000.00,56000.00,0,21000.00,8,2,654924.16,2022-11,True
SYN-EMP-000227,IT,Officer,16,3.1,793000.00,63440.00,1,31720.00,9,2,711200.76,2022-10,True
SYN-EMP-000228,Sales,Senior Officer,17,3.2,886000.00,70880.00,2,44300.00,10,2,822314.29,2022-09,True
SYN-EMP-000229,Claims,Team Lead,18,3.3,979000.00,78320.00,3,0.00,5,2,891889.14,2022-08,True
SYN-EMP-000230,Policy,Manager,19,3.4,1072000.00,85760.00,4,10720.00,6,2,995760.24,2022-07,True
SYN-EMP-000231,Finance,Assistant,20,3.5,840000.00,67200.00,5,16800.00,7,2,765052.61,2022-06,True
SYN-EMP-000232,Customer Service,Officer,0,3.6,345000.00,27600.00,6,10350.00,8,2,323080.13,2022-05,True
SYN-EMP-000233,IT,Senior Officer,1,3.7,438000.00,35040.00,7,17520.00,9,2,417387.03,2022-04,True
