id,amount,created_at,notes,payment_method,payment_type,period_label,period_number,screenshot_path,status,transaction_amount,transaction_last_six_digits,updated_at,verified_by,application_id,customer_id
300033,26033.48,2024-06-30 00:44:12,Synthetic payment record,WAVE_PAY,PREMIUM,2024-06,10,,VERIFIED,26033.48,000033,2024-07-03 00:44:12,synthetic-generator,200033,100284
300034,8333.81,2024-07-25 03:52:09,Synthetic payment record,AYA_PAY,PREMIUM,2024-07,11,,VERIFIED,8333.81,000034,2024-07-27 03:52:09,synthetic-generator,200034,100285
300035,42420.39,2024-08-26 05:17:37,Synthetic payment record,BANK_TRANSFER,PREMIUM,2024-08,12,,PENDING,42420.39,000035,2024-08-28 05:17:37,,200035,100286
300036,10492.76,2024-09-03 17:57:27,Synthetic payment record,KBZ_PAY,RENEWAL,2024-09,1,,VERIFIED,10492.76,000036,2024-09-04 17:57:27,synthetic-generator,200036,100287
300037,5117.49,2024-10-10 07:11:03,Synthetic payment record,WAVE_PAY,PREMIUM,2024-10,2,,VERIFIED,5117.49,000037,2024-10-13 07:11:03,synthetic-generator,200037,100288
300038,44295.99,2024-11-11 02:09:00,Synthetic payment record,AYA_PAY,PREMIUM,2024-11,3,,VERIFIED,44295.99,000038,2024-11-14 02:09:00,synthetic-generator,200038,100289
300039,29645.39,2024-12-14 07:13:39,Synthetic payment record,BANK_TRANSFER,PREMIUM,2024-12,4,,VERIFIED,29645.39,000039,2024-12-15 07:13:39,synthetic-generator,200039,100290
300040,15856.82,2025-01-15 16:18:16,Synthetic payment record,KBZ_PAY,PREMIUM,2025-01,5,,VERIFIED,15856.82,000040,2025-01-18 16:18:16,synthetic-generator,200040,100291
300041,7568.01,2025-02-06 02:18:01,Synthetic payment record,WAVE_PAY,PREMIUM,2025-02,6,,PENDING,7568.01,000041,2025-02-08 02:18:01,,200041,100292
300042,21352.16,2025-03-29 18:33:18,Synthetic payment record,AYA_PAY,RENEWAL,2025-03,7,,VERIFIED,21352.16,000042,2025-04-01 18:33:18,synthetic-generator,200042,100293
300043,36243.65,2025-04-08 00:59:46,Synthetic payment record,BANK_TRANSFER,PREMIUM,2025-04,8,,VERIFIED,36243.65,000043,2025-04-08 00:59:46,synthetic-generator,200043,100294
300044,12104.26,2025-05-30 22:25:54,Synthetic payment record,KBZ_PAY,PREMIUM,2025-05,9,,VERIFIED,12104.26,000044,2025-05-31 22:25:54,synthetic-generator,200044,100295
300045,17661.26,2025-06-30 16:14:46,Synthetic payment record,WAVE_PAY,PREMIUM,2025-06,10,,VERIFIED,17661.26,000045,2025-06-30 16:14:46,synthetic-generator,200045,100296
300046,12554.68,2025-07-16 05:33:54,Synthetic payment record,AYA_PAY,PREMIUM,2025-07,11,,VERIFIED,12554.68,000046,2025-07-18 05:33:54,synthetic-generator,200046,100297
300047,42217.07,2025-08-20 00:54:39,Synthetic payment record,BANK_TRANSFER,PREMIUM,2025-08,12,,VERIFIED,42217.07,000047,2025-08-20 00:54:39,synthetic-generator,200047,100298
300048,3352.14,2025-09-09 17:38:37,Synthetic payment record,KBZ_PAY,CLAIM_PAYOUT,2025-09,1,,VERIFIED,3352.14,000048,2025-09-11 17:38:37,synthetic-generator,200048,100299
300049,11555.74,2025-10-04 02:18:33,Synthetic payment record,WAVE_PAY,RENEWAL,2025-10,2,,VERIFIED,11555.74,000049,2025-10-05 02:18:33,synthetic-generator,200049,100300
300050,32122.81,2025-11-25 22:29:09,Synthetic payment record,AYA_PAY,RENEWAL,2025-11,3,,VERIFIED,32122.81,000050,2025-11-28 22:29:09,synthetic-generator,200050,100301
300051,35179.86,2025-12-12 14:05:05,Synthetic payment record,BANK_TRANSFER,PREMIUM,2025-12,4,,VERIFIED,35179.86,000051,2025-12-13 14:05:05,synthetic-generator,200051,100302
300052,6404.30,2026-01-26 12:33:12,Synthetic payment record,KBZ_PAY,PREMIUM,2026-01,5,,VERIFIED,6404.30,000052,2026-01-28 12:33:12,synthetic-generator,200052,100303
300053,11739.60,2026-02-02 14:16:33,Synthetic payment record,WAVE_PAY,PREMIUM,2026-02,6,,VERIFIED,11739.60,000053,2026-02-02 14:16:33,synthetic-generator,200053,100304
300054,28506.75,2026-03-29 21:17:33,Synthetic payment record,AYA_PAY,PREMIUM,2026-03,7,,VERIFIED,28506.75,000054,2026-04-01 21:17:33,synthetic-generator,200054,100305
300055,32591.27,2026-04-16 14:34:00,Synthetic payment record,BANK_TRANSFER,PREMIUM,2026-04,8,,VERIFIED,32591.27,000055,2026-04-19 14:34:00,synthetic-generator,200055,100306
300056,4032.11,2026-05-22 12:44:55,Synthetic payment record,KBZ_PAY,PREMIUM,2026-05,9,,VERIFIED,4032.11,000056,2026-05-24 12:44:55,synthetic-generator,200056,100307
300057,12513.17,2026-06-15 08:09:22,Synthetic payment record,WAVE_PAY,PREMIUM,2026-06,10,,VERIFIED,12513.17,000057,2026-06-17 08:09:22,synthetic-generator,200057,100308
300058,41423.82,2026-07-23 01:44:35,Synthetic payment record,AYA_PAY,PREMIUM,2026-07,11,,VERIFIED,41423.82,000058,2026-07-25 01:44:35,synthetic-generator,200058,100309
300059,51022.61,2026-08-27 22:48:41,Synthetic payment record,BANK_TRANSFER,PREMIUM,2026-08,12,,VERIFIED,51022.61,000059,2026-08-28 22:48:41,synthetic-generator,200059,100310
300060,5309.75,2021-09-19 13:23:01,Synthetic payment record,KBZ_PAY,RENEWAL,2021-09,1,,VERIFIED,5309.75,000060,2021-09-22 13:23:01,synthetic-generator,200060,100311
300061,15858.44,2021-10-12 13:45:17,Synthetic payment record,WAVE_PAY,RENEWAL,2021-10,2,,VERIFIED,15858.44,000061,2021-10-14 13:45:17,synthetic-generator,200061,100312
300062,18605.06,2021-11-05 12:57:00,Synthetic payment record,AYA_PAY,PREMIUM,2021-11,3,,VERIFIED,18605.06,000062,2021-11-08 12:57:00,synthetic-generator,200062,100313
300063,10047.83,2021-12-13 07:45:03,Synthetic payment record,BANK_TRANSFER,PREMIUM,2021-12,4,,VERIFIED,10047.83,000063,2021-12-15 07:45:03,synthetic-generator,200063,100314
300064,14091.59,2022-01-28 09:59:31,Synthetic payment record,KBZ_PAY,PREMIUM,2022-01,5,,VERIFIED,14091.59,000064,2022-01-31 09:59:31,synthetic-generator,200064,100315
300065,33756.21,2022-02-26 12:17:18,Synthetic payment record,WAVE_PAY,PREMIUM,2022-02,6,,PENDING,33756.21,000065,2022-03-01 12:17:18,,200065,100316
300066,3119.68,2022-03-19 01:15:32,Synthetic payment record,AYA_PAY,RENEWAL,2022-03,7,,VERIFIED,3119.68,000066,2022-03-22 01:15:32,synthetic-generator,200066,100317
300067,35530.99,2022-04-09 23:14:37,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-04,8,,PENDING,35530.99,000067,2022-04-10 23:14:37,,200067,100318
300068,4832.56,2022-05-28 11:10:25,Synthetic payment record,KBZ_PAY,PREMIUM,2022-05,9,,VERIFIED,4832.56,000068,2022-05-28 11:10:25,synthetic-generator,200068,100319
300069,6179.42,2022-06-13 20:23:39,Synthetic payment record,WAVE_PAY,RENEWAL,2022-06,10,,VERIFIED,6179.42,000069,2022-06-13 20:23:39,synthetic-generator,200069,100320
300070,24040.46,2022-07-20 04:00:36,Synthetic payment record,AYA_PAY,RENEWAL,2022-07,11,,VERIFIED,24040.46,000070,2022-07-23 04:00:36,synthetic-generator,200070,100321
300071,64380.82,2022-08-13 01:34:36,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-08,12,,VERIFIED,64380.82,000071,2022-08-13 01:34:36,synthetic-generator,200071,100322
300072,1797.75,2022-09-03 22:14:15,Synthetic payment record,KBZ_PAY,PREMIUM,2022-09,1,,VERIFIED,1797.75,000072,2022-09-04 22:14:15,synthetic-generator,200072,100323
300073,15649.35,2022-10-20 17:13:23,Synthetic payment record,WAVE_PAY,PREMIUM,2022-10,2,,VERIFIED,15649.35,000073,2022-10-20 17:13:23,synthetic-generator,200073,100324
300074,5562.18,2022-11-02 19:00:52,Synthetic payment record,AYA_PAY,PREMIUM,2022-11,3,,VERIFIED,5562.18,000074,2022-11-02 19:00:52,synthetic-generator,200074,100325
300075,40466.71,2022-12-16 10:44:37,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-12,4,,VERIFIED,40466.71,000075,2022-12-19 10:44:37,synthetic-generator,200075,100326
300076,7399.92,2023-01-26 08:10:02,Synthetic payment record,KBZ_PAY,RENEWAL,2023-01,5,,PENDING,7399.92,000076,2023-01-29 08:10:02,,200076,100327
300077,12961.82,2023-02-19 01:18:01,Synthetic payment record,WAVE_PAY,PREMIUM,2023-02,6,,VERIFIED,12961.82,000077,2023-02-21 01:18:01,synthetic-generator,200077,100328
300078,21476.17,2023-03-15 18:59:54,Synthetic payment record,AYA_PAY,PREMIUM,2023-03,7,,VERIFIED,21476.17,000078,2023-03-16 18:59:54,synthetic-generator,200078,100329
300079,41002.87,2023-04-27 14:45:56,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-04,8,,VERIFIED,41002.87,000079,2023-04-27 14:45:56,synthetic-generator,200079,100330
300080,21187.58,2023-05-23 19:28:27,Synthetic payment record,KBZ_PAY,PREMIUM,2023-05,9,,VERIFIED,21187.58,000080,2023-05-23 19:28:27,synthetic-generator,200080,100331
300081,35871.99,2023-06-29 21:44:01,Synthetic payment record,WAVE_PAY,RENEWAL,2023-06,10,,VERIFIED,35871.99,000081,2023-06-30 21:44:01,synthetic-generator,200081,100332
300082,10711.23,2023-07-08 16:02:03,Synthetic payment record,AYA_PAY,RENEWAL,2023-07,11,,VERIFIED,10711.23,000082,2023-07-10 16:02:03,synthetic-generator,200082,100333
300083,50288.76,2023-08-30 12:45:53,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-08,12,,PENDING,50288.76,000083,2023-09-01 12:45:53,,200083,100334
300084,4015.92,2023-09-05 20:14:30,Synthetic payment record,KBZ_PAY,PREMIUM,2023-09,1,,VERIFIED,4015.92,000084,2023-09-06 20:14:30,synthetic-generator,200084,100335
300085,14676.07,2023-10-11 13:09:34,Synthetic payment record,WAVE_PAY,PREMIUM,2023-10,2,,VERIFIED,14676.07,000085,2023-10-11 13:09:34,synthetic-generator,200085,100336
300086,8418.72,2023-11-06 23:20:55,Synthetic payment record,AYA_PAY,PREMIUM,2023-11,3,,VERIFIED,8418.72,000086,2023-11-08 23:20:55,synthetic-generator,200086,100337
300087,27148.11,2023-12-02 22:46:08,Synthetic payment record,BANK_TRANSFER,CLAIM_PAYOUT,2023-12,4,,VERIFIED,27148.11,000087,2023-12-03 22:46:08,synthetic-generator,200087,100338
300088,5155.94,2024-01-13 23:57:48,Synthetic payment record,KBZ_PAY,RENEWAL,2024-01,5,,VERIFIED,5155.94,000088,2024-01-14 23:57:48,synthetic-generator,200088,100339
300089,28268.47,2024-02-27 14:26:18,Synthetic payment record,WAVE_PAY,PREMIUM,2024-02,6,,VERIFIED,28268.47,000089,2024-02-28 14:26:18,synthetic-generator,200089,100340
300090,4836.57,2024-03-29 09:31:58,Synthetic payment record,AYA_PAY,PREMIUM,2024-03,7,,VERIFIED,4836.57,000090,2024-04-01 09:31:58,synthetic-generator,200090,100341
300091,35002.34,2024-04-07 08:19:24,Synthetic payment record,BANK_TRANSFER,PREMIUM,2024-04,8,,VERIFIED,35002.34,000091,2024-04-10 08:19:24,synthetic-generator,200091,100342
300092,6976.52,2024-05-17 12:26:09,Synthetic payment record,KBZ_PAY,PREMIUM,2024-05,9,,VERIFIED,6976.52,000092,2024-05-19 12:26:09,synthetic-generator,200092,100343
300093,33389.37,2024-06-03 00:54:35,Synthetic payment record,WAVE_PAY,PREMIUM,2024-06,10,,VERIFIED,33389.37,000093,2024-06-06 00:54:35,synthetic-generator,200093,100344
300094,46477.12,2024-07-25 01:54:36,Synthetic payment record,AYA_PAY,CLAIM_PAYOUT,2024-07,11,,VERIFIED,46477.12,000094,2024-07-27 01:54:36,synthetic-generator,200094,100345
300095,7730.80,2024-08-26 09:36:56,Synthetic payment record,BANK_TRANSFER,PREMIUM,2024-08,12,,VERIFIED,7730.80,000095,2024-08-28 09:36:56,synthetic-generator,200095,100346
300096,3349.82,2024-09-24 09:30:31,Synthetic payment record,KBZ_PAY,PREMIUM,2024-09,1,,VERIFIED,3349.82,000096,2024-09-25 09:30:31,synthetic-generator,200096,100347
300097,13570.03,2024-10-25 11:28:51,Synthetic payment record,WAVE_PAY,PREMIUM,2024-10,2,,VERIFIED,13570.03,000097,2024-10-25 11:28:51,synthetic-generator,200097,100348
300098,28812.57,2024-11-04 07:03:28,Synthetic payment record,AYA_PAY,PREMIUM,2024-11,3,,PENDING,28812.57,000098,2024-11-04 07:03:28,,200098,100349
300099,5834.85,2024-12-30 07:27:14,Synthetic payment record,BANK_TRANSFER,PREMIUM,2024-12,4,,VERIFIED,5834.85,000099,2024-12-30 07:27:14,synthetic-generator,200099,100350
300100,8667.39,2025-01-19 07:01:22,Synthetic payment record,KBZ_PAY,RENEWAL,2025-01,5,,VERIFIED,8667.39,000100,2025-01-21 07:01:22,synthetic-generator,200100,100351
300101,18371.81,2025-02-28 17:38:25,Synthetic payment record,WAVE_PAY,PREMIUM,2025-02,6,,VERIFIED,18371.81,000101,2025-03-01 17:38:25,synthetic-generator,200101,100352
300102,9979.46,2025-03-06 06:05:47,Synthetic payment record,AYA_PAY,PREMIUM,2025-03,7,,VERIFIED,9979.46,000102,2025-03-09 06:05:47,synthetic-generator,200102,100353
300103,46256.41,2025-04-09 22:32:37,Synthetic payment record,BANK_TRANSFER,PREMIUM,2025-04,8,,VERIFIED,46256.41,000103,2025-04-09 22:32:37,synthetic-generator,200103,100354
300104,13450.30,2025-05-21 10:16:13,Synthetic payment record,KBZ_PAY,PREMIUM,2025-05,9,,VERIFIED,13450.30,000104,2025-05-21 10:16:13,synthetic-generator,200104,100355
300105,35129.19,2025-06-09 08:31:51,Synthetic payment record,WAVE_PAY,PREMIUM,2025-06,10,,REJECTED,35129.19,000105,2025-06-10 08:31:51,,200105,100356
300106,36406.79,2025-07-19 22:18:45,Synthetic payment record,AYA_PAY,PREMIUM,2025-07,11,,VERIFIED,36406.79,000106,2025-07-19 22:18:45,synthetic-generator,200106,100357
300107,64635.66,2025-08-31 13:35:40,Synthetic payment record,BANK_TRANSFER,PREMIUM,2025-08,12,,VERIFIED,64635.66,000107,2025-08-31 13:35:40,synthetic-generator,200107,100358
300108,1382.95,2025-09-04 06:23:26,Synthetic payment record,KBZ_PAY,PREMIUM,2025-09,1,,VERIFIED,1382.95,000108,2025-09-04 06:23:26,synthetic-generator,200108,100359
300109,19812.45,2025-10-30 23:59:47,Synthetic payment record,WAVE_PAY,PREMIUM,2025-10,2,,PENDING,19812.45,000109,2025-11-01 23:59:47,,200109,100360
300110,20923.82,2025-11-26 08:42:48,Synthetic payment record,AYA_PAY,CLAIM_PAYOUT,2025-11,3,,VERIFIED,20923.82,000110,2025-11-28 08:42:48,synthetic-generator,200110,100361
300111,32029.57,2025-12-06 07:55:17,Synthetic payment record,BANK_TRANSFER,RENEWAL,2025-12,4,,VERIFIED,32029.57,000111,2025-12-09 07:55:17,synthetic-generator,200111,100362
300112,19436.07,2026-01-20 08:01:52,Synthetic payment record,KBZ_PAY,PREMIUM,2026-01,5,,VERIFIED,19436.07,000112,2026-01-23 08:01:52,synthetic-generator,200112,100363
300113,6514.84,2026-02-14 03:15:49,Synthetic payment record,WAVE_PAY,CLAIM_PAYOUT,2026-02,6,,VERIFIED,6514.84,000113,2026-02-17 03:15:49,synthetic-generator,200113,100364
300114,20718.27,2026-03-22 03:58:08,Synthetic payment record,AYA_PAY,PREMIUM,2026-03,7,,VERIFIED,20718.27,000114,2026-03-22 03:58:08,synthetic-generator,200114,100365
300115,38198.67,2026-04-05 15:28:15,Synthetic payment record,BANK_TRANSFER,PREMIUM,2026-04,8,,VERIFIED,38198.67,000115,2026-04-06 15:28:15,synthetic-generator,200115,100366
300116,15616.14,2026-05-09 15:47:21,Synthetic payment record,KBZ_PAY,RENEWAL,2026-05,9,,VERIFIED,15616.14,000116,2026-05-10 15:47:21,synthetic-generator,200116,100367
300117,8774.23,2026-06-16 22:30:37,Synthetic payment record,WAVE_PAY,PREMIUM,2026-06,10,,VERIFIED,8774.23,000117,2026-06-19 22:30:37,synthetic-generator,200117,100368
300118,15892.08,2026-07-02 13:30:27,Synthetic payment record,AYA_PAY,PREMIUM,2026-07,11,,PENDING,15892.08,000118,2026-07-03 13:30:27,,200118,100369
300119,71491.68,2026-08-15 05:29:11,Synthetic payment record,BANK_TRANSFER,PREMIUM,2026-08,12,,VERIFIED,71491.68,000119,2026-08-15 05:29:11,synthetic-generator,200119,100370
300120,1172.83,2021-09-14 05:06:47,Synthetic payment record,KBZ_PAY,RENEWAL,2021-09,1,,VERIFIED,1172.83,000120,2021-09-17 05:06:47,synthetic-generator,200120,100371
300121,14207.52,2021-10-08 12:43:37,Synthetic payment record,WAVE_PAY,PREMIUM,2021-10,2,,VERIFIED,14207.52,000121,2021-10-08 12:43:37,synthetic-generator,200121,100372
300122,15777.78,2021-11-27 13:21:31,Synthetic payment record,AYA_PAY,PREMIUM,2021-11,3,,VERIFIED,15777.78,000122,2021-11-30 13:21:31,synthetic-generator,200122,100373
300123,27842.16,2021-12-12 07:55:37,Synthetic payment record,BANK_TRANSFER,PREMIUM,2021-12,4,,REJECTED,27842.16,000123,2021-12-15 07:55:37,,200123,100374
300124,19857.15,2022-01-31 14:34:18,Synthetic payment record,KBZ_PAY,PREMIUM,2022-01,5,,VERIFIED,19857.15,000124,2022-02-02 14:34:18,synthetic-generator,200124,100375
300125,15672.78,2022-02-05 19:58:33,Synthetic payment record,WAVE_PAY,PREMIUM,2022-02,6,,VERIFIED,15672.78,000125,2022-02-05 19:58:33,synthetic-generator,200125,100376
300126,18278.40,2022-03-28 17:47:25,Synthetic payment record,AYA_PAY,PREMIUM,2022-03,7,,VERIFIED,18278.40,000126,2022-03-29 17:47:25,synthetic-generator,200126,100377
300127,14052.33,2022-04-28 07:38:34,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-04,8,,VERIFIED,14052.33,000127,2022-04-30 07:38:34,synthetic-generator,200127,100378
300128,16610.00,2022-05-22 15:10:56,Synthetic payment record,KBZ_PAY,PREMIUM,2022-05,9,,VERIFIED,16610.00,000128,2022-05-22 15:10:56,synthetic-generator,200128,100379
300129,26735.14,2022-06-19 14:26:50,Synthetic payment record,WAVE_PAY,PREMIUM,2022-06,10,,REJECTED,26735.14,000129,2022-06-19 14:26:50,,200129,100380
300130,14342.43,2022-07-13 10:42:04,Synthetic payment record,AYA_PAY,RENEWAL,2022-07,11,,PENDING,14342.43,000130,2022-07-13 10:42:04,,200130,100381
300131,10000.18,2022-08-20 11:09:14,Synthetic payment record,BANK_TRANSFER,RENEWAL,2022-08,12,,VERIFIED,10000.18,000131,2022-08-20 11:09:14,synthetic-generator,200131,100382
300132,4811.16,2022-09-25 06:32:28,Synthetic payment record,KBZ_PAY,PREMIUM,2022-09,1,,VERIFIED,4811.16,000132,2022-09-27 06:32:28,synthetic-generator,200132,100383
300133,14743.43,2022-10-27 12:05:48,Synthetic payment record,WAVE_PAY,PREMIUM,2022-10,2,,PENDING,14743.43,000133,2022-10-29 12:05:48,,200133,100384
300134,26478.61,2022-11-08 08:42:11,Synthetic payment record,AYA_PAY,PREMIUM,2022-11,3,,VERIFIED,26478.61,000134,2022-11-10 08:42:11,synthetic-generator,200134,100385
300135,25011.39,2022-12-24 01:04:58,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-12,4,,VERIFIED,25011.39,000135,2022-12-26 01:04:58,synthetic-generator,200135,100386
300136,14841.17,2023-01-29 09:31:23,Synthetic payment record,KBZ_PAY,PREMIUM,2023-01,5,,VERIFIED,14841.17,000136,2023-02-01 09:31:23,synthetic-generator,200136,100387
300137,32851.58,2023-02-22 00:45:25,Synthetic payment record,WAVE_PAY,RENEWAL,2023-02,6,,PENDING,32851.58,000137,2023-02-23 00:45:25,,200137,100388
300138,8277.07,2023-03-10 01:31:01,Synthetic payment record,AYA_PAY,PREMIUM,2023-03,7,,VERIFIED,8277.07,000138,2023-03-10 01:31:01,synthetic-generator,200138,100389
300139,39240.73,2023-04-15 18:21:44,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-04,8,,VERIFIED,39240.73,000139,2023-04-16 18:21:44,synthetic-generator,200139,100390
300140,14025.93,2023-05-23 08:31:53,Synthetic payment record,KBZ_PAY,PREMIUM,2023-05,9,,PENDING,14025.93,000140,2023-05-25 08:31:53,,200140,100391
300141,28081.12,2023-06-11 02:32:42,Synthetic payment record,WAVE_PAY,PREMIUM,2023-06,10,,VERIFIED,28081.12,000141,2023-06-14 02:32:42,synthetic-generator,200141,100392
300142,20807.39,2023-07-04 16:08:26,Synthetic payment record,AYA_PAY,PREMIUM,2023-07,11,,VERIFIED,20807.39,000142,2023-07-06 16:08:26,synthetic-generator,200142,100393
300143,47719.99,2023-08-05 19:38:44,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-08,12,,REJECTED,47719.99,000143,2023-08-06 19:38:44,,200143,100394
300144,8214.49,2023-09-21 21:35:35,Synthetic payment record,KBZ_PAY,RENEWAL,2023-09,1,,VERIFIED,8214.49,000144,2023-09-24 21:35:35,synthetic-generator,200144,100395
