id,admin_note,admin_signature,admin_signed_at,agent_note,agent_signature,agent_signed_at,common_info,coverage_amount,created_at,documents_path,duration,extra_info,form_data,notes,policy_number,premium_amount,revision_deadline,risk_level,status,updated_at,agent_id,customer_id,package_id
200010,Synthetic admin review completed,,2023-02-26 20:56:04,Synthetic agent verification,,2023-02-24 20:56:04,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",3634225.22,2023-02-22 20:56:04,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200010,6814.17,,LOW,APPROVED,2023-03-05 20:56:04,100011,100311,9111
200011,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",25478126.45,2022-02-25 14:10:11,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,53079.43,,MEDIUM,PENDING,2022-02-26 14:10:11,100012,100312,9112
200012,Synthetic admin review completed,,2025-08-05 01:55:10,Synthetic agent verification,,2025-08-03 01:55:10,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",6900134.17,2025-08-01 01:55:10,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200012,7187.64,,MEDIUM,APPROVED,2025-08-08 01:55:10,100013,100313,9113
200013,,,,Synthetic agent verification,,2022-11-07 16:05:27,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",2759109.80,2022-11-05 16:05:27,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,,3448.89,,MEDIUM,VERIFIED,2022-11-11 16:05:27,100014,100314,9114
200014,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",7855139.40,2022-02-19 20:09:47,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,11455.41,,HIGH,REJECTED,2022-02-25 20:09:47,100015,100315,9115
200015,Synthetic admin review completed,,2024-03-08 08:50:09,Synthetic agent verification,,2024-03-06 08:50:09,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",21890548.83,2024-03-04 08:50:09,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200015,36484.25,,LOW,APPROVED,2024-03-16 08:50:09,100016,100316,9116
200016,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",7406467.95,2026-02-05 08:14:07,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,13887.13,2026-02-12 08:14:07,LOW,REVISION_REQUESTED,2026-02-16 08:14:07,100017,100317,9117
200017,Synthetic admin review completed,,2025-02-14 19:50:59,Synthetic agent verification,,2025-02-12 19:50:59,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",16100800.54,2025-02-10 19:50:59,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200017,33543.33,,MEDIUM,APPROVED,2025-02-21 19:50:59,100018,100318,9118
200018,Synthetic admin review completed,,2024-12-20 14:41:07,Synthetic agent verification,,2024-12-18 14:41:07,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",16689903.28,2024-12-16 14:41:07,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200018,17385.32,,LOW,APPROVED,2024-12-28 14:41:07,100019,100319,9119
200019,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",22388458.93,2022-01-29 08:12:33,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,27985.57,2022-02-05 08:12:33,LOW,REVISION_REQUESTED,2022-01-30 08:12:33,100020,100320,9120
200020,,,,Synthetic agent verification,,2023-05-08 13:03:20,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",7172751.71,2023-05-06 13:03:20,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,10460.26,,LOW,VERIFIED,2023-05-14 13:03:20,100021,100321,9121
200021,Synthetic admin review completed,,2026-03-24 15:10:53,Synthetic agent verification,,2026-03-22 15:10:53,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",1779459.86,2026-03-20 15:10:53,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200021,2965.77,,LOW,APPROVED,2026-03-24 15:10:53,100022,100322,9122
200022,Synthetic admin review completed,,2023-09-30 04:47:10,Synthetic agent verification,,2023-09-28 04:47:10,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",4635471.48,2023-09-26 04:47:10,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200022,8691.51,,MEDIUM,APPROVED,2023-10-03 04:47:10,100023,100323,9123
200023,Synthetic admin review completed,,2024-12-17 11:24:35,Synthetic agent verification,,2024-12-15 11:24:35,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",19475872.43,2024-12-13 11:24:35,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200023,40574.73,,LOW,APPROVED,2024-12-22 11:24:35,100024,100324,9124
200024,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",6155000.86,2023-01-12 06:32:54,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,6411.46,,LOW,REJECTED,2023-01-23 06:32:54,100025,100325,9101
200025,Synthetic admin review completed,,2023-05-11 08:15:06,Synthetic agent verification,,2023-05-09 08:15:06,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",15299119.22,2023-05-07 08:15:06,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200025,19123.90,,MEDIUM,APPROVED,2023-05-17 08:15:06,100026,100326,9102
200026,Synthetic admin review completed,,2023-07-16 13:44:52,Synthetic agent verification,,2023-07-14 13:44:52,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",12577140.79,2023-07-12 13:44:52,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,SYN-POL-200026,18341.66,,MEDIUM,APPROVED,2023-07-24 13:44:52,100027,100327,9103
200027,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",12906851.64,2025-07-22 06:20:10,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,21511.42,,LOW,REJECTED,2025-07-25 06:20:10,100028,100328,9104
200028,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",8064055.88,2022-08-11 20:52:03,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,15120.10,,LOW,REJECTED,2022-08-17 20:52:03,100029,100329,9105
200029,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",12605112.84,2026-01-11 20:13:15,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,26260.65,2026-01-18 20:13:15,MEDIUM,REVISION_REQUESTED,2026-01-12 20:13:15,100030,100330,9106
200030,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",6264114.60,2022-10-19 13:47:48,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,6525.12,,MEDIUM,CANCELLED,2022-10-28 13:47:48,100031,100331,9107
200031,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",28945811.47,2022-09-01 08:32:48,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,36182.26,,LOW,PENDING,2022-09-02 08:32:48,100032,100332,9108
200032,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",4904020.71,2023-09-02 00:27:52,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,7151.70,2023-09-09 00:27:52,MEDIUM,REVISION_REQUESTED,2023-09-08 00:27:52,100033,100333,9109
200033,Synthetic admin review completed,,2023-06-01 21:39:46,Synthetic agent verification,,2023-05-30 21:39:46,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",10227090.56,2023-05-28 21:39:46,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200033,17045.15,,MEDIUM,APPROVED,2023-05-31 21:39:46,100034,100334,9110
200034,,,,Synthetic agent verification,,2026-01-21 07:30:11,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",9253576.77,2026-01-19 07:30:11,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,17350.46,,LOW,VERIFIED,2026-01-27 07:30:11,100035,100335,9111
200035,Synthetic admin review completed,,2021-11-22 17:01:12,Synthetic agent verification,,2021-11-20 17:01:12,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",12540338.17,2021-11-18 17:01:12,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200035,26125.70,,MEDIUM,APPROVED,2021-11-19 17:01:12,100036,100336,9112
200036,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",5383978.85,2025-02-19 00:54:58,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,5608.31,2025-02-26 00:54:58,LOW,REVISION_REQUESTED,2025-03-01 00:54:58,100037,100337,9113
200037,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",15352388.79,2026-01-06 06:16:06,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,19190.49,,MEDIUM,PENDING,2026-01-18 06:16:06,100038,100338,9114
200038,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",5518804.43,2025-11-04 18:40:31,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,8048.26,,MEDIUM,CANCELLED,2025-11-05 18:40:31,100039,100339,9115
200039,Synthetic admin review completed,,2022-08-23 03:21:28,Synthetic agent verification,,2022-08-21 03:21:28,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",20801993.91,2022-08-19 03:21:28,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,SYN-POL-200039,34669.99,,MEDIUM,APPROVED,2022-08-28 03:21:28,100040,100340,9116
200040,,,,Synthetic agent verification,,2022-10-18 16:39:33,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",3290443.13,2022-10-16 16:39:33,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,6169.58,,LOW,VERIFIED,2022-10-21 16:39:33,100041,100341,9117
200041,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",5027909.17,2021-10-18 15:00:04,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,10474.81,,MEDIUM,REJECTED,2021-10-20 15:00:04,100042,100342,9118
200042,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",4177248.02,2024-04-25 07:02:33,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,4351.30,2024-05-02 07:02:33,HIGH,REVISION_REQUESTED,2024-04-28 07:02:33,100043,100343,9119
200043,,,,Synthetic agent verification,,2025-10-09 15:00:59,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",24231869.07,2025-10-07 15:00:59,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,30289.84,,MEDIUM,VERIFIED,2025-10-15 15:00:59,100044,100344,9120
200044,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",9896894.73,2024-11-19 07:15:14,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,14432.97,2024-11-26 07:15:14,LOW,REVISION_REQUESTED,2024-11-29 07:15:14,100045,100345,9121
200045,,,,Synthetic agent verification,,2024-03-12 06:10:24,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",1580640.25,2024-03-10 06:10:24,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,2634.40,,MEDIUM,VERIFIED,2024-03-14 06:10:24,100046,100346,9122
200046,Synthetic admin review completed,,2025-05-14 23:18:55,Synthetic agent verification,,2025-05-12 23:18:55,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",16142908.53,2025-05-10 23:18:55,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200046,30267.95,,LOW,APPROVED,2025-05-16 23:18:55,100047,100347,9123
200047,,,,Synthetic agent verification,,2022-03-21 02:24:41,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",25440905.19,2022-03-19 02:24:41,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,53001.89,,MEDIUM,VERIFIED,2022-03-22 02:24:41,100048,100348,9124
200048,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",2121368.29,2024-01-26 05:37:17,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,2209.76,,LOW,REJECTED,2024-01-27 05:37:17,100049,100349,9101
200049,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",14495821.96,2021-09-14 01:44:27,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,18119.78,,MEDIUM,CANCELLED,2021-09-18 01:44:27,100050,100350,9102
200050,Synthetic admin review completed,,2022-07-25 04:29:35,Synthetic agent verification,,2022-07-23 04:29:35,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",5999609.03,2022-07-21 04:29:35,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200050,8749.43,,LOW,APPROVED,2022-07-26 04:29:35,100051,100351,9103
200051,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",22465876.12,2021-11-15 06:50:27,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,37443.13,,MEDIUM,CANCELLED,2021-11-23 06:50:27,100052,100352,9104
200052,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",7924565.00,2022-04-19 11:17:09,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,,14858.56,,LOW,CANCELLED,2022-04-27 11:17:09,100053,100353,9105
200053,,,,Synthetic agent verification,,2025-12-07 00:17:08,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",3122971.80,2025-12-05 00:17:08,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,6506.19,,MEDIUM,VERIFIED,2025-12-15 00:17:08,100054,100354,9106
200054,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",9434741.65,2026-08-06 07:19:11,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,9827.86,,LOW,REJECTED,2026-08-12 07:19:11,100055,100355,9107
200055,Synthetic admin review completed,,2022-08-25 12:54:25,Synthetic agent verification,,2022-08-23 12:54:25,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",22605557.64,2022-08-21 12:54:25,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200055,28256.95,,MEDIUM,APPROVED,2022-08-29 12:54:25,100056,100356,9108
200056,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",5473560.28,2024-04-26 02:07:57,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,7982.28,,LOW,REJECTED,2024-04-30 02:07:57,100057,100357,9109
200057,Synthetic admin review completed,,2025-11-21 12:15:10,Synthetic agent verification,,2025-11-19 12:15:10,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",11519232.41,2025-11-17 12:15:10,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200057,19198.72,,HIGH,APPROVED,2025-11-20 12:15:10,100058,100358,9110
200058,,,,Synthetic agent verification,,2024-02-07 13:50:10,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",6618915.82,2024-02-05 13:50:10,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,12410.47,,LOW,VERIFIED,2024-02-14 13:50:10,100059,100359,9111
200059,Synthetic admin review completed,,2022-04-17 00:58:41,Synthetic agent verification,,2022-04-15 00:58:41,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",25358864.52,2022-04-13 00:58:41,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200059,52830.97,,MEDIUM,APPROVED,2022-04-21 00:58:41,100060,100360,9112
200060,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",3060447.59,2025-07-16 06:30:36,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,3187.97,2025-07-23 06:30:36,MEDIUM,REVISION_REQUESTED,2025-07-26 06:30:36,100061,100361,9113
200061,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",9346666.30,2025-03-24 03:54:13,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,11683.33,,LOW,REJECTED,2025-04-05 03:54:13,100062,100362,9114
200062,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",15241138.01,2024-03-27 13:00:06,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,22226.66,,LOW,REJECTED,2024-04-08 13:00:06,100063,100363,9115
200063,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",10524173.66,2026-07-24 20:12:43,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,17540.29,,LOW,CANCELLED,2026-07-27 20:12:43,100064,100364,9116
200064,Synthetic admin review completed,,2022-10-29 12:48:20,Synthetic agent verification,,2022-10-27 12:48:20,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",4263180.53,2022-10-25 12:48:20,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200064,7993.46,,LOW,APPROVED,2022-10-28 12:48:20,100065,100365,9117
200065,Synthetic admin review completed,,2022-12-17 07:57:09,Synthetic agent verification,,2022-12-15 07:57:09,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",5893010.00,2022-12-13 07:57:09,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,SYN-POL-200065,12277.10,,MEDIUM,APPROVED,2022-12-25 07:57:09,100066,100366,9118
200066,Synthetic admin review completed,,2024-05-13 06:15:48,Synthetic agent verification,,2024-05-11 06:15:48,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",19729116.84,2024-05-09 06:15:48,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200066,20551.16,,MEDIUM,APPROVED,2024-05-19 06:15:48,100067,100367,9119
200067,Synthetic admin review completed,,2024-07-12 04:45:27,Synthetic agent verification,,2024-07-10 04:45:27,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",30746051.30,2024-07-08 04:45:27,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200067,38432.56,,LOW,APPROVED,2024-07-12 04:45:27,100068,100368,9120
200068,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",5728832.58,2023-08-08 02:13:19,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,8354.55,2023-08-15 02:13:19,MEDIUM,REVISION_REQUESTED,2023-08-19 02:13:19,100069,100369,9121
200069,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",6638841.77,2023-12-29 00:52:20,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,11064.74,,LOW,CANCELLED,2024-01-08 00:52:20,100070,100370,9122
200070,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",5702556.82,2024-01-30 03:25:16,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,10692.29,,MEDIUM,REJECTED,2024-02-04 03:25:16,100071,100371,9123
200071,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",29729085.12,2025-07-28 07:15:02,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,61935.59,,MEDIUM,REJECTED,2025-07-29 07:15:02,100072,100372,9124
200072,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",8516277.34,2026-03-21 22:45:01,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,8871.12,,LOW,CANCELLED,2026-03-29 22:45:01,100073,100373,9101
200073,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",11432450.46,2026-07-19 22:24:08,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,14290.56,2026-07-26 22:24:08,MEDIUM,REVISION_REQUESTED,2026-07-28 22:24:08,100074,100374,9102
